init_fuel,city,walking.duration,walking.distance,init_address,vendor,final_time,driving.duration,driving.distance,plate,final_address,init_time,vin,smartPhoneRequired,init_date,final_fuel,exterior,interior,final_date,engineType,origin_destination.type,origin_destination.coordinates[0][0],origin_destination.coordinates[0][1],origin_destination.coordinates[1][0],origin_destination.coordinates[1][1],public_transport.duration,public_transport.distance,public_transport.arrival_date,public_transport.arrival_time,distance,virtual_rental_type_id,carModelData[0],carModelData[1],carModelData[2],car_category_id,car_category_type_id,car_name,onClick_disabled,virtual_rental_id
68,Torino,386,469,"Corso Duca degli Abruzzi, 28, 10129 Torino TO",car2go,1505689232,155,736,088/FF054NT,"Corso Peschiera, 85a, 10141 Torino TO",1505686049,WME4533421K150213,true,2017-09-18T00:07:29.000Z,62,GOOD,GOOD,2017-09-18T01:00:32.000Z,CE,LineString,7.66188,45.06157,7.65747,45.06141,351,612,2017-09-18T01:04:40.000Z,1505689480,346,,,,,,,,,
95,Torino,2353,3126,"Corso Cosenza, 64, 10137 Torino TO",enjoy,1505687287,818,5109,EZ011TY,"Via Ventimiglia, 34, 10126 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,94,,,2017-09-18T00:28:07.000Z,,LineString,7.6404543,45.03643,7.6720867,45.033287,1177,5979,2017-09-18T01:06:38.000Z,1505689598,2508,2,99,141,,8,1,Fiat 500,false,309764
90,Torino,139,188,"Via Vicenza, 27, 10144 Torino TO",enjoy,1505687771,47,188,EZ869DF,"Via Avellino, 25, 10144 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,86,,,2017-09-18T00:36:11.000Z,,LineString,7.6645813,45.085804,7.663258,45.086014,-1,-1,-1,-1,106,2,99,100,141,8,1,Fiat 500,false,462806
52,Torino,789,1066,"Corso Unione Sovietica, 6040, 10134 Torino TO",enjoy,1505689218,227,1496,EZ759DD,"Via Montevideo, 33, 10134 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,45,,,2017-09-18T01:00:18.000Z,,LineString,7.658304,45.043205,7.6562705,45.0355,-1,-1,-1,-1,870,2,99,100,141,8,1,Fiat 500,false,416747
75,Torino,4013,5370,"Via Paolo Sacchi, 29-31, 10128 Torino TO",enjoy,1505687287,1022,6138,EZ055TY,"Via Valprato, 70, 10155 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,74,,,2017-09-18T00:28:07.000Z,,LineString,7.6747327,45.058685,7.682105,45.09359,2061,6607,2017-09-18T01:14:39.000Z,1505690079,3921,2,99,141,,8,1,Fiat 500,false,392293
76,Torino,1780,2403,"Corso Luigi Settembrini, 210, 10135 Torino TO",enjoy,1505686794,427,2805,EZ049TY,"Via Severino Casana, 36-40, 10135 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,75,,,2017-09-18T00:19:54.000Z,,LineString,7.618008,45.0297,7.64291,45.02569,864,2757,2017-09-18T00:32:56.000Z,1505687576,2005,2,99,141,,8,1,Fiat 500,false,483781
91,Torino,4410,5768,"Corso Regina Margherita, 57, 10124 Torino TO",enjoy,1505688234,1257,7400,EZ184TY,"Via Cesare Reduzzi, 19, 10134 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,88,,,2017-09-18T00:43:54.000Z,,LineString,7.697548,45.072006,7.6563945,45.037018,3480,7151,2017-09-18T02:01:04.000Z,1505692864,5055,2,99,141,,8,1,Fiat 500,false,362349
40,Torino,2468,3079,"Corso Galileo Galilei, 8, 10126 Torino TO",enjoy,1505687023,715,3186,EZ203GW,"Piazza Marmolada, 1, 10141 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,40,,,2017-09-18T00:23:43.000Z,,LineString,7.68228,45.044445,7.6486125,45.054447,2986,6887,2017-09-18T01:16:03.000Z,1505690163,2867,2,99,100,141,8,1,Fiat 500,false,399346
80,Torino,2451,3241,"Corso Galileo Ferraris, 57, 10128 Torino TO",enjoy,1505691872,635,3888,EZ198GW,"Corso Giovanni Agnelli, 45-79, 10134 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,74,,,2017-09-18T01:44:32.000Z,,LineString,7.668221,45.061543,7.6465096,45.03914,-1,-1,-1,-1,3017,2,99,100,141,8,1,Fiat 500,false,471807
52,Torino,5349,7057,"Via Tollegno, 39, 10154 Torino TO",enjoy,1505687994,1513,9201,EZ076TY,"Via Taggia, 31a, 10134 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,48,,,2017-09-18T00:39:54.000Z,,LineString,7.7012014,45.08639,7.6567583,45.035454,2653,8647,2017-09-18T01:27:15.000Z,1505690835,6648,2,99,141,,8,1,Fiat 500,false,420512
89,Torino,2640,3475,"Via Francesco Valentino, 2-10, 10136 Torino TO",enjoy,1505687994,641,4580,EZ283GW,"Via Valgioie, 358, 10146 Torino TO",1505686055,,,2017-09-18T00:07:35.000Z,88,,,2017-09-18T00:39:54.000Z,,LineString,7.637636,45.05188,7.620874,45.076874,2600,4319,2017-09-18T01:28:34.000Z,1505690914,3073,2,99,100,141,8,1,Fiat 500,false,406392
65,Torino,1625,2209,"Piazza Carlo Montanari, 137, 10137 Torino TO",enjoy,1505688949,457,2540,EZ992DD,"Corso Unione Sovietica, 73, 10134 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,65,,,2017-09-18T00:55:49.000Z,,LineString,7.6429524,45.039192,7.662031,45.046623,797,2252,2017-09-18T01:20:48.000Z,1505690448,1710,2,99,100,141,8,1,Fiat 500,false,431010
34,Torino,1277,1623,"Rondò Luigi Einaudi, 81, 10129 Torino TO",enjoy,1505689921,293,1826,EZ157TY,"Via Tirreno, 135, 10136 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,32,,,2017-09-18T01:12:01.000Z,,LineString,7.6615367,45.060352,7.649322,45.052444,706,1728,2017-09-18T01:30:06.000Z,1505691006,1300,2,99,141,,8,1,Fiat 500,false,462760
76,Torino,3335,4548,"Via Achille Loria, 6, 10128 Torino TO",enjoy,1505687287,656,5017,EZ524DD,"Corso Piero Maroncelli, 9, 10127 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,75,,,2017-09-18T00:28:07.000Z,,LineString,7.6684413,45.05183,7.666189,45.01804,2162,5365,2017-09-18T00:59:26.000Z,1505689166,3759,2,99,100,141,8,1,Fiat 500,false,339281
36,Torino,2547,3248,"Corso Vittorio Emanuele II, 44, 10123 Torino TO",enjoy,1505687510,694,3302,EZ817DD,"Via Massimo Montano, 24, 10143 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,36,,,2017-09-18T00:31:50.000Z,,LineString,7.6827683,45.06141,7.6536016,45.077347,1033,3942,2017-09-18T00:57:05.000Z,1505689025,2894,2,99,100,141,8,1,Fiat 500,false,416426
76,Torino,1832,2412,"Corso Enrico Gamba, 10144 Torino TO",enjoy,1505687023,413,2380,EZ804DD,"Via Saorgio, 134-148, 10147 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,75,,,2017-09-18T00:23:43.000Z,,LineString,7.6733975,45.08471,7.6699934,45.10295,959,2643,2017-09-18T00:45:22.000Z,1505688322,2044,2,99,100,141,8,1,Fiat 500,false,423394
98,Torino,566,751,"Via Onorato Vigliani, 97, 10127 Torino TO",enjoy,1505686794,220,1202,EZ092TY,"Via Carlo Pisacane, 55, 10127 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,97,,,2017-09-18T00:19:54.000Z,,LineString,7.6462398,45.01807,7.6519113,45.014107,-1,-1,-1,-1,626,2,99,141,,8,1,Fiat 500,false,365249
58,Torino,4008,5105,"Corso Cairoli, 28, 10123 Torino TO",enjoy,1505688726,1139,5759,EZ788DD,"Via Michele Lessona, 17, 10145 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,53,,,2017-09-18T00:52:06.000Z,,LineString,7.691341,45.059654,7.6480684,45.083107,1998,6185,2017-09-18T01:25:56.000Z,1505690756,4280,2,99,100,141,8,1,Fiat 500,false,420840
85,Torino,0,0,"Via Sandro Botticelli, 25, 10155 Torino TO",enjoy,1505687994,0,0,EZ117GW,"Via Sandro Botticelli, 25, 10155 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,85,,,2017-09-18T00:39:54.000Z,,LineString,7.698086,45.102783,7.6981015,45.10281,-1,-1,-1,-1,3,2,99,100,141,8,1,Fiat 500,false,405755
10,Torino,4143,5471,"Via Giovanni Servais, 32, 10146 Torino TO",enjoy,1505688234,903,6302,EZ108TY,"Via Don Bartolomeo Grazioli, 26, 10137 Torino TO",1505686322,,,2017-09-18T00:12:02.000Z,100,,,2017-09-18T00:43:54.000Z,,LineString,7.6361823,45.08375,7.6335287,45.037884,1827,6337,2017-09-18T01:11:14.000Z,1505689874,5101,2,99,141,,8,1,Fiat 500,false,363441
43,Torino,-1,-1,"Corso Potenza, 6, 10143 Torino TO",car2go,1505686489,-1,-1,160/FF185NT,"Corso Potenza, 6, 10143 Torino TO",1505686342,WME4533421K152652,true,2017-09-18T00:12:22.000Z,43,GOOD,GOOD,2017-09-18T00:14:49.000Z,CE,LineString,7.65216,45.0879,7.65216,45.0879,-1,-1,-1,-1,0,,,,,,,,,
15,Torino,2608,3375,"Via Santa Giulia, 68, 10124 Torino TO",car2go,1505687580,705,3701,044/FF820KW,"Via Graziadio Ascoli, 14, 10144 Torino TO",1505686342,WME4533421K149415,true,2017-09-18T00:12:22.000Z,15,GOOD,GOOD,2017-09-18T00:33:00.000Z,CE,LineString,7.70091,45.06822,7.6667,45.08387,1173,3796,2017-09-18T01:20:10.000Z,1505690410,3198,,,,,,,,,
78,Torino,3436,4418,"Corso Potenza, 6, 10143 Torino TO",car2go,1505687864,889,6100,259/FF148SJ,"Via Tirreno, 139, 10136 Torino TO",1505686489,WME4533421K150592,true,2017-09-18T00:14:49.000Z,75,GOOD,GOOD,2017-09-18T00:37:44.000Z,CE,LineString,7.65209,45.08773,7.64888,45.05244,1850,5590,2017-09-18T01:24:32.000Z,1505690672,3929,,,,,,,,,
40,Torino,1966,2542,"Via Parma, 38, 10152 Torino TO",car2go,1505687429,985,4188,089/FF055NT,"Via Saluzzo, 16, 10125 Torino TO",1505686489,WME4533421K150229,true,2017-09-18T00:14:49.000Z,40,GOOD,GOOD,2017-09-18T00:30:29.000Z,CE,LineString,7.69349,45.07782,7.6794,45.05999,1705,4664,2017-09-18T01:05:29.000Z,1505689529,2269,,,,,,,,,
59,Torino,-1,-1,"Viale Madonna di Campagna, 17, 10147 Torino TO",car2go,1505686538,-1,-1,329/FF054VV,"Viale Madonna di Campagna, 17, 10147 Torino TO",1505686489,WME4533421K152767,true,2017-09-18T00:14:49.000Z,59,GOOD,GOOD,2017-09-18T00:15:38.000Z,CE,LineString,7.6682,45.10223,7.6682,45.10223,-1,-1,-1,-1,0,,,,,,,,,
61,Torino,3930,5243,"Via Paolo Sacchi, 39, 10128 Torino TO",enjoy,1505687771,914,6355,EZ026TY,"Via Onorato Vigliani, 151, 10127 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,60,,,2017-09-18T00:36:11.000Z,,LineString,7.6739736,45.05789,7.651557,45.017662,1984,6804,2017-09-18T01:16:42.000Z,1505690202,4804,2,99,141,,8,1,Fiat 500,false,414303
43,Torino,940,1213,"Corso Peschiera, 85-97, 10141 Torino TO",enjoy,1505687771,210,1288,EZ225TY,"Corso Racconigi, 233B, 10129 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,42,,,2017-09-18T00:36:11.000Z,,LineString,7.6565294,45.061844,7.649371,45.054115,-1,-1,-1,-1,1026,2,99,,,8,1,Fiat 500,false,414187
87,Torino,1578,2043,"Piazza Santa Giulia, 2, 10124 Torino TO",enjoy,1505687510,556,2210,EZ047TY,"Corso Giulio Cesare, 28, 10152 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,86,,,2017-09-18T00:31:50.000Z,,LineString,7.7002444,45.069866,7.6882796,45.083588,1753,4224,2017-09-18T01:07:37.000Z,1505689657,1790,2,99,,,8,1,Fiat 500,false,411035
60,Torino,1583,2072,"Via S. Tommaso, 22-24, 10121 Torino TO",enjoy,1505687287,632,2626,EZ099TY,"Via Antonio Genovesi, 19, 10128 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,58,,,2017-09-18T00:28:07.000Z,,LineString,7.6806955,45.069477,7.667803,45.054985,1064,2513,2017-09-18T00:53:58.000Z,1505688838,1901,2,99,,,8,1,Fiat 500,false,326162
47,Torino,2321,3060,"Via Giordano Bruno, 54, 10134 Torino TO",enjoy,1505687994,686,3312,EZ243GW,"Corso Vittorio Emanuele II, 31, 10125 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,47,,,2017-09-18T00:39:54.000Z,,LineString,7.66313,45.0432,7.682747,45.0612,1258,3243,2017-09-18T01:10:54.000Z,1505689854,2524,2,99,100,141,8,1,Fiat 500,false,391038
27,Torino,986,1303,"Via Filadelfia, 91-97, 10134 Torino TO",enjoy,1505687023,242,1339,EZ207GW,"Via Tunisi, 5, 10134 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,27,,,2017-09-18T00:23:43.000Z,,LineString,7.6488004,45.040684,7.660275,45.04436,738,1413,2017-09-18T00:38:44.000Z,1505687924,989,2,99,100,141,8,1,Fiat 500,false,412718
36,Torino,1506,1991,"Corso S. Maurizio, 6, 10124 Torino TO",enjoy,1505687994,698,3073,EZ808DD,"Via Nizza, 8, 10125 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,35,,,2017-09-18T00:39:54.000Z,,LineString,7.69244,45.07169,7.677989,45.059544,934,2337,2017-09-18T01:15:46.000Z,1505690146,1763,2,99,100,141,8,1,Fiat 500,false,382886
26,Torino,2917,3806,"Via Giovanni Paisiello, 29, 10154 Torino TO",enjoy,1505688726,1116,6304,EZ228TY,"Via Nizza, 4, 10125 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,25,,,2017-09-18T00:52:06.000Z,,LineString,7.6991343,45.089046,7.679274,45.061634,1389,4806,2017-09-18T01:31:56.000Z,1505691116,3421,2,99,141,,8,1,Fiat 500,false,429993
56,Torino,1179,1611,"Piazza Statuto, 17, 10122 Torino TO",enjoy,1505687510,525,1819,FD205DR,"Via Carlo Noè, 8, 10152 Torino TO",1505686550,,,2017-09-18T00:15:50.000Z,55,,,2017-09-18T00:31:50.000Z,,LineString,7.6692576,45.07631,7.685905,45.07804,885,1739,2017-09-18T00:59:12.000Z,1505689152,1320,2,99,100,141,8,1,Fiat 500,false,484493
100,Torino,960,1247,"Piazza della Repubblica, 1D, 10122 Torino TO",car2go,1505687429,508,1813,462/FK853LX,"Piazza Statuto, 11, 10122 Torino TO",1505686639,WME4530421Y135194,true,2017-09-18T00:17:19.000Z,96,GOOD,GOOD,2017-09-18T00:30:29.000Z,CE,LineString,7.68257,45.07554,7.67086,45.07593,1492,1769,2017-09-18T00:56:02.000Z,1505688962,919,,,,,,,,,
87,Torino,2035,2783,"Via Carlo Ignazio Giulio, 21, 10122 Torino TO",car2go,1505688501,842,3567,415/FK616LX,"Via della Rocca, 33, 10123 Torino TO",1505686691,WME4530421Y135094,true,2017-09-18T00:18:11.000Z,84,GOOD,GOOD,2017-09-18T00:48:21.000Z,CE,LineString,7.67733,45.07726,7.69111,45.06137,1169,3539,2017-09-18T01:12:06.000Z,1505689926,2070,,,,,,,,,
81,Torino,2496,3263,"Piazza Tancredi Galimberti, 15, 10134 Torino TO",car2go,1505687429,524,3523,423/FK624LX,"Via Alfonso Lamarmora, 43, 10128 Torino TO",1505686691,WME4530421Y135112,true,2017-09-18T00:18:11.000Z,78,GOOD,GOOD,2017-09-18T00:30:29.000Z,CE,LineString,7.65457,45.03371,7.66764,45.05796,925,3462,2017-09-18T00:57:31.000Z,1505689051,2883,,,,,,,,,
15,Torino,-1,-1,"Via Refrancore 18, 1, 10151 Torino TO",car2go,1505686739,-1,-1,464/FK855LX,"Via Refrancore 18, 1, 10151 Torino TO",1505686691,WME4530421Y135198,true,2017-09-18T00:18:11.000Z,15,GOOD,GOOD,2017-09-18T00:18:59.000Z,CE,LineString,7.66003,45.10605,7.66003,45.10605,-1,-1,-1,-1,0,,,,,,,,,
56,Torino,1240,1639,"Via Roccabruna, 14, 10134 Torino TO",car2go,1505687630,388,1786,326/FF051VV,"Via Pastrengo, 13, 10128 Torino TO",1505686739,WME4533421K152612,true,2017-09-18T00:18:59.000Z,56,GOOD,GOOD,2017-09-18T00:33:50.000Z,CE,LineString,7.66618,45.04739,7.67148,45.0593,799,2014,2017-09-18T00:56:05.000Z,1505688965,1387,,,,,,,,,
32,Torino,3738,5048,"Corso Racconigi, 48, 10139 Torino TO",enjoy,1505688462,1154,5945,EZ519DD,"Corso S. Maurizio, 75, 10124 Torino TO",1505686794,,,2017-09-18T00:19:54.000Z,30,,,2017-09-18T00:47:42.000Z,,LineString,7.645811,45.069046,7.697928,45.066525,2061,6678,2017-09-18T01:33:42.000Z,1505691222,4099,2,99,100,141,8,1,Fiat 500,false,378073
22,Torino,3249,4189,"Corso Duca degli Abruzzi, 88, 10129 Torino TO",enjoy,1505687510,703,4882,EZ160TY,"Via Francesco De Sanctis, 27a, 10141 Torino TO",1505686794,,,2017-09-18T00:19:54.000Z,20,,,2017-09-18T00:31:50.000Z,,LineString,7.6574225,45.055042,7.6190667,45.072697,1919,4615,2017-09-18T01:03:18.000Z,1505689398,3593,2,99,141,,8,1,Fiat 500,false,471479
60,Torino,-1,-1,"Corso Peschiera, 122-130, 10138 Torino TO",car2go,1505686984,-1,-1,195/EZ569NP,"Corso Peschiera, 122-130, 10138 Torino TO",1505686937,WME4513341K751040,false,2017-09-18T00:22:17.000Z,60,GOOD,GOOD,2017-09-18T00:23:04.000Z,CE,LineString,7.65506,45.06262,7.65506,45.06262,-1,-1,-1,-1,0,,,,,,,,,
78,Torino,292,386,"Corso Francesco Ferrucci, 104, 10138 Torino TO",car2go,1505687580,97,470,093/FF059NT,"Corso Peschiera, 160, 10138 Torino TO",1505686984,WME4533421K150282,true,2017-09-18T00:23:04.000Z,75,GOOD,GOOD,2017-09-18T00:33:00.000Z,CE,LineString,7.65556,45.06337,7.65175,45.06395,255,475,2017-09-18T00:33:31.000Z,1505687611,305,,,,,,,,,
11,Torino,1995,2624,"Corso S. Maurizio, 20, 10124 Torino TO",enjoy,1505689218,608,2974,EZ199GW,"Via Biella, 36-38, 10152 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,9,,,2017-09-18T01:00:18.000Z,,LineString,7.6946435,45.069553,7.675899,45.084835,1247,2899,2017-09-18T01:23:33.000Z,1505690613,2246,2,99,100,141,8,1,Fiat 500,false,307271
81,Torino,4470,5887,"Via Carlo del Prete, 38-46, 10137 Torino TO",enjoy,1505688949,1015,6119,EZ797DD,"Via Nicola Fabrizi, 65, 10145 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,80,,,2017-09-18T00:55:49.000Z,,LineString,7.640495,45.03338,7.645011,45.081043,-1,-1,-1,-1,5308,2,99,100,141,8,1,Fiat 500,false,405204
54,Torino,2498,3224,"Via Claudio Luigi Berthollet, 15, 10125 Torino TO",enjoy,1505691389,632,3431,EZ999DD,"Corso Peschiera, 173-175, 10141 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,54,,,2017-09-18T01:36:29.000Z,,LineString,7.6808157,45.059326,7.6481805,45.064884,-1,-1,-1,-1,2635,2,99,100,141,8,1,Fiat 500,false,421620
97,Torino,1364,1826,"Via le Chiuse, 2/F, 10144 Torino TO",enjoy,1505687994,521,2212,EZ145TY,"Via Antonio Cecchi, 2, 10152 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,96,,,2017-09-18T00:39:54.000Z,,LineString,7.6673093,45.07757,7.6835384,45.0845,939,2063,2017-09-18T00:58:39.000Z,1505689119,1488,2,99,141,,8,1,Fiat 500,false,320201
17,Torino,3823,5110,"Via Salbertrand, 13-25, 10146 Torino TO",enjoy,1505689218,1141,6495,EZ112GW,"Via Aosta, 18, 10152 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,15,,,2017-09-18T01:00:18.000Z,,LineString,7.635863,45.080566,7.6903706,45.08307,-1,-1,-1,-1,4285,2,99,100,,8,1,Fiat 500,false,367866
4,Torino,4131,5393,"Corso Mortara, 38-40, 10144 Torino TO",enjoy,1505704386,968,6277,EZ255GW,"Via Stelvio, 65A, 10141 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,100,,,2017-09-18T05:13:06.000Z,,LineString,7.672179,45.09045,7.626999,45.06616,2352,7110,2017-09-18T05:52:47.000Z,1505706767,4455,2,99,100,141,8,1,Fiat 500,false,335681
82,Torino,4133,5393,"Via Pio VII, 24, 10135 Torino TO",enjoy,1505688234,1083,6691,EZ778DD,"Via Francesco Azzi, 1, 10139 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,80,,,2017-09-18T00:43:54.000Z,,LineString,7.653769,45.02811,7.644704,45.067886,2432,7354,2017-09-18T01:44:53.000Z,1505691893,4477,2,99,100,141,8,1,Fiat 500,false,357971
55,Torino,915,1175,"Via Baltea, 25-35, 10154 Torino TO",enjoy,1505687771,535,2509,EZ069TY,"Corso Vigevano, 33, 10152 Torino TO",1505687023,,,2017-09-18T00:23:43.000Z,54,,,2017-09-18T00:36:11.000Z,,LineString,7.694408,45.090256,7.6824594,45.089397,656,1303,2017-09-18T00:56:13.000Z,1505688973,942,2,99,141,,8,1,Fiat 500,false,325782
43,Torino,4003,5372,"Via Alpignano, 13, 10143 Torino TO",car2go,1505688454,1246,6747,548/FK211PV,"Via Moncalvo, 55, 10131 Torino TO",1505687229,WME4530421Y135093,true,2017-09-18T00:27:09.000Z,43,GOOD,GOOD,2017-09-18T00:47:34.000Z,CE,LineString,7.65213,45.07697,7.7097,45.0651,2448,6603,2017-09-18T01:46:55.000Z,1505692015,4706,,,,,,,,,
31,Torino,991,1303,"Corso Giulio Cesare, 9, 10152 Torino TO",car2go,1505689482,483,2418,523/FK803LX,"Corso Vigevano, 2, 10155 Torino TO",1505687329,WME4530421Y135175,true,2017-09-18T00:28:49.000Z,25,GOOD,GOOD,2017-09-18T01:04:42.000Z,CE,LineString,7.68482,45.07888,7.68774,45.08921,589,1527,2017-09-18T01:20:44.000Z,1505690444,1170,,,,,,,,,
71,Torino,1625,2149,"Via Gradisca, 39, 10136 Torino TO",enjoy,1505687994,452,2448,EZ236TY,"Via Pollenzo, 2, 10141 Torino TO",1505687510,,,2017-09-18T00:31:50.000Z,70,,,2017-09-18T00:39:54.000Z,,LineString,7.6450486,45.050545,7.6483817,45.064537,-1,-1,-1,-1,1576,2,99,141,,8,1,Fiat 500,false,409036
38,Torino,2315,3042,"Via Chivasso, 6, 10152 Torino TO",enjoy,1505688462,682,3936,EZ014TY,"Corso Svizzera, 145, 10149 Torino TO",1505687510,,,2017-09-18T00:31:50.000Z,35,,,2017-09-18T00:47:42.000Z,,LineString,7.6889753,45.083607,7.6578674,45.08836,1613,4345,2017-09-18T01:22:44.000Z,1505690564,2497,2,99,141,,8,1,Fiat 500,false,354899
