,employee_id,incident_type,severity,date
50,1110,unauthorized_access,high,2026-05-08
51,1024,privilege_escalation,low,2026-05-01
52,1080,data_copy,high,2026-05-30
53,1044,privilege_escalation,medium,2026-05-04
54,1142,policy_violation,low,2026-05-21
55,1073,unauthorized_access,low,2026-05-07
56,1110,privilege_escalation,high,2026-05-11
57,1150,privilege_escalation,low,2026-05-08
58,1080,privilege_escalation,high,2026-05-08
59,1115,data_copy,low,2026-05-20
60,1025,data_copy,medium,2026-05-30
61,1023,privilege_escalation,low,2026-05-11
62,1037,data_copy,high,2026-05-07
63,1003,privilege_escalation,high,2026-05-28
64,1060,data_copy,high,2026-05-11
65,1059,privilege_escalation,medium,2026-05-18
66,1033,policy_violation,low,2026-05-25
67,1039,data_copy,high,2026-05-22
68,1063,privilege_escalation,low,2026-05-04
69,1089,unauthorized_access,high,2026-05-06
70,1103,policy_violation,high,2026-05-31
71,1085,data_copy,low,2026-05-07
72,1049,privilege_escalation,low,2026-05-10
73,1103,unauthorized_access,high,2026-05-08
74,1109,unauthorized_access,high,2026-05-04
75,1071,unauthorized_access,medium,2026-05-09
76,1091,policy_violation,high,2026-05-06
77,1077,policy_violation,high,2026-05-17
78,1087,unauthorized_access,medium,2026-05-19
79,1008,policy_violation,medium,2026-05-14
80,1013,privilege_escalation,medium,2026-05-01
81,1026,data_copy,low,2026-05-06
82,1138,data_copy,medium,2026-05-22
83,1091,data_copy,medium,2026-05-07
84,1056,policy_violation,medium,2026-05-01
85,1132,privilege_escalation,low,2026-05-17
86,1106,privilege_escalation,high,2026-05-21
87,1031,policy_violation,high,2026-05-21
88,1017,policy_violation,low,2026-05-17
89,1136,privilege_escalation,low,2026-05-07
90,1037,privilege_escalation,high,2026-05-14
91,1125,unauthorized_access,low,2026-05-07
92,1148,data_copy,medium,2026-05-22
93,1047,unauthorized_access,low,2026-05-13
94,1051,privilege_escalation,low,2026-05-23
95,1114,unauthorized_access,high,2026-05-28
96,1058,data_copy,medium,2026-05-22
97,1044,policy_violation,high,2026-05-26
98,1098,unauthorized_access,low,2026-05-18
99,1011,unauthorized_access,medium,2026-05-21
100,1012,policy_violation,low,2026-05-07
101,1138,policy_violation,high,2026-05-02
102,1054,data_copy,high,2026-05-21
103,1034,privilege_escalation,medium,2026-05-19
104,1143,unauthorized_access,low,2026-05-14
105,1136,data_copy,medium,2026-05-25
106,1100,unauthorized_access,medium,2026-05-26
107,1022,data_copy,high,2026-05-01
108,1005,data_copy,medium,2026-05-16
109,1020,policy_violation,low,2026-05-07
110,1118,privilege_escalation,medium,2026-05-26
111,1049,unauthorized_access,medium,2026-05-16
112,1119,privilege_escalation,high,2026-05-20
113,1147,data_copy,high,2026-05-12
114,1142,policy_violation,high,2026-05-05
115,1007,privilege_escalation,medium,2026-05-17
116,1080,policy_violation,medium,2026-05-21
117,1010,policy_violation,high,2026-05-27
118,1107,unauthorized_access,low,2026-05-24
119,1150,data_copy,high,2026-05-13
120,1133,unauthorized_access,medium,2026-05-14
121,1024,unauthorized_access,low,2026-05-31
122,1143,privilege_escalation,high,2026-05-22
123,1088,policy_violation,medium,2026-05-29
124,1055,unauthorized_access,low,2026-05-16
125,1098,unauthorized_access,medium,2026-05-13
126,1146,data_copy,medium,2026-05-18
127,1134,privilege_escalation,medium,2026-05-18
128,1025,privilege_escalation,medium,2026-05-27
129,1144,policy_violation,low,2026-05-09
130,1029,policy_violation,low,2026-05-28
131,1064,privilege_escalation,high,2026-05-31
132,1129,privilege_escalation,high,2026-05-01
133,1124,data_copy,high,2026-05-28
134,1109,unauthorized_access,medium,2026-05-02
135,1026,data_copy,medium,2026-05-08
136,1085,data_copy,high,2026-05-31
137,1050,privilege_escalation,medium,2026-05-13
138,1100,privilege_escalation,low,2026-05-06
139,1080,unauthorized_access,medium,2026-05-19
140,1029,policy_violation,medium,2026-05-31
141,1135,privilege_escalation,high,2026-05-19
142,1062,data_copy,high,2026-05-30
143,1071,unauthorized_access,high,2026-05-27
144,1127,policy_violation,low,2026-05-25
145,1034,data_copy,medium,2026-05-02
146,1133,data_copy,high,2026-05-31
147,1117,policy_violation,medium,2026-05-10
148,1008,data_copy,medium,2026-05-05
149,1043,data_copy,high,2026-05-23
150,1074,unauthorized_access,medium,2026-05-22
151,1151,data_copy,medium,2026-05-30
152,1038,data_copy,low,2026-05-01
153,1007,unauthorized_access,high,2026-05-13
154,1081,unauthorized_access,high,2026-05-12
155,1024,policy_violation,high,2026-05-10
156,1035,policy_violation,low,2026-05-03
157,1042,policy_violation,medium,2026-05-15
158,1044,unauthorized_access,low,2026-05-30
159,1004,data_copy,low,2026-05-05
160,1108,data_copy,medium,2026-05-28
161,1119,data_copy,low,2026-05-19
162,1077,data_copy,low,2026-05-19
163,1024,unauthorized_access,high,2026-05-21
164,1071,privilege_escalation,high,2026-05-29
165,1147,policy_violation,low,2026-05-13
166,1123,privilege_escalation,low,2026-05-08
167,1091,policy_violation,high,2026-05-26
168,1146,policy_violation,high,2026-05-08
169,1094,unauthorized_access,medium,2026-05-30
170,1073,policy_violation,low,2026-05-24
171,1103,unauthorized_access,low,2026-05-06
172,1103,privilege_escalation,high,2026-05-09
173,1085,data_copy,high,2026-05-14
174,1102,privilege_escalation,high,2026-05-05
175,1135,privilege_escalation,high,2026-05-16
176,1045,unauthorized_access,low,2026-05-14
177,1089,unauthorized_access,low,2026-05-10
178,1070,policy_violation,low,2026-05-23
179,1049,data_copy,low,2026-05-17
180,1119,privilege_escalation,high,2026-05-31
181,1084,privilege_escalation,high,2026-05-16
182,1146,unauthorized_access,low,2026-05-20
183,1040,unauthorized_access,medium,2026-05-17
184,1018,unauthorized_access,medium,2026-05-16
185,1047,privilege_escalation,low,2026-05-10
186,1151,unauthorized_access,high,2026-05-18
187,1039,policy_violation,medium,2026-05-06
188,1112,policy_violation,medium,2026-05-17
189,1023,policy_violation,low,2026-05-09
190,1014,data_copy,medium,2026-05-22
191,1037,policy_violation,high,2026-05-08
192,1071,unauthorized_access,low,2026-05-31
193,1076,unauthorized_access,low,2026-05-26
194,1123,privilege_escalation,medium,2026-05-26
195,1007,data_copy,medium,2026-05-08
196,1109,data_copy,low,2026-05-12
197,1121,unauthorized_access,low,2026-05-18
198,1145,privilege_escalation,low,2026-05-02
199,1014,policy_violation,high,2026-05-03
200,1055,policy_violation,low,2026-05-27
201,1057,privilege_escalation,low,2026-05-24
202,1004,privilege_escalation,high,2026-05-11
203,1049,unauthorized_access,high,2026-05-24
204,1081,data_copy,medium,2026-05-21
205,1035,privilege_escalation,high,2026-05-30
206,1110,unauthorized_access,medium,2026-05-13
207,1102,data_copy,low,2026-05-18
208,1121,policy_violation,medium,2026-05-11
209,1010,privilege_escalation,medium,2026-05-14
210,1113,policy_violation,low,2026-05-20
211,1002,unauthorized_access,low,2026-05-04
212,1063,policy_violation,high,2026-05-23
213,1120,unauthorized_access,low,2026-05-04
214,1144,unauthorized_access,low,2026-05-10
215,1016,data_copy,high,2026-05-22
216,1131,unauthorized_access,low,2026-05-27
217,1018,unauthorized_access,low,2026-05-02
218,1042,policy_violation,high,2026-05-31
219,1124,data_copy,low,2026-05-31
220,1050,data_copy,medium,2026-05-18
221,1003,data_copy,high,2026-05-28
222,1072,policy_violation,low,2026-05-11
223,1116,data_copy,low,2026-05-05
224,1125,policy_violation,medium,2026-05-17
225,1127,data_copy,high,2026-05-02
226,1005,unauthorized_access,medium,2026-05-03
227,1084,privilege_escalation,low,2026-05-25
228,1023,data_copy,low,2026-05-25
229,1138,policy_violation,low,2026-05-07
230,1138,privilege_escalation,high,2026-05-29
231,1073,policy_violation,low,2026-05-21
232,1146,unauthorized_access,high,2026-05-02
233,1097,unauthorized_access,low,2026-05-02
234,1074,policy_violation,low,2026-05-08
235,1027,privilege_escalation,medium,2026-05-16
236,1062,privilege_escalation,low,2026-05-03
237,1146,data_copy,medium,2026-05-23
238,1007,unauthorized_access,high,2026-05-29
239,1010,privilege_escalation,high,2026-05-22
240,1027,unauthorized_access,low,2026-05-31
241,1068,privilege_escalation,low,2026-05-29
242,1048,privilege_escalation,high,2026-05-06
243,1107,data_copy,high,2026-05-19
244,1067,policy_violation,low,2026-05-22
245,1089,unauthorized_access,high,2026-05-13
246,1071,unauthorized_access,high,2026-05-04
247,1046,policy_violation,low,2026-05-17
248,1098,data_copy,high,2026-05-28
249,1092,data_copy,low,2026-05-24
250,1011,unauthorized_access,medium,2026-05-09
251,1032,policy_violation,medium,2026-05-30
252,1072,data_copy,low,2026-05-03
253,1148,policy_violation,medium,2026-05-27
254,1133,privilege_escalation,high,2026-05-01
255,1126,unauthorized_access,low,2026-05-01
256,1013,data_copy,low,2026-05-17
257,1122,privilege_escalation,medium,2026-05-25
258,1098,policy_violation,high,2026-05-26
259,1131,policy_violation,high,2026-05-13
260,1143,unauthorized_access,low,2026-05-05
261,1097,privilege_escalation,medium,2026-05-19
262,1056,data_copy,low,2026-05-26
263,1124,unauthorized_access,low,2026-05-25
264,1046,privilege_escalation,medium,2026-05-10
265,1117,unauthorized_access,low,2026-05-09
266,1105,privilege_escalation,high,2026-05-06
267,1097,data_copy,high,2026-05-21
268,1055,policy_violation,medium,2026-05-17
269,1054,policy_violation,medium,2026-05-22
270,1125,policy_violation,high,2026-05-21
271,1065,data_copy,low,2026-05-25
272,1051,privilege_escalation,low,2026-05-30
273,1128,unauthorized_access,low,2026-05-07
274,1148,policy_violation,low,2026-05-16
275,1091,policy_violation,high,2026-05-19
276,1032,data_copy,low,2026-05-05
277,1103,data_copy,low,2026-05-22
278,1057,privilege_escalation,high,2026-05-27
279,1029,privilege_escalation,high,2026-05-18
280,1087,privilege_escalation,medium,2026-05-07
281,1122,unauthorized_access,low,2026-05-25
282,1079,privilege_escalation,low,2026-05-26
283,1107,privilege_escalation,high,2026-05-25
284,1052,unauthorized_access,low,2026-05-05
285,1143,policy_violation,high,2026-05-08
286,1089,policy_violation,high,2026-05-09
287,1031,data_copy,medium,2026-05-22
288,1084,unauthorized_access,high,2026-05-28
289,1144,privilege_escalation,low,2026-05-20
290,1039,policy_violation,high,2026-05-04
291,1139,data_copy,medium,2026-05-03
292,1148,unauthorized_access,low,2026-05-12
293,1056,unauthorized_access,high,2026-05-09
294,1047,unauthorized_access,high,2026-05-10
295,1006,privilege_escalation,medium,2026-05-11
296,1109,privilege_escalation,high,2026-05-16
297,1035,privilege_escalation,high,2026-05-29
298,1136,data_copy,high,2026-05-31
299,1071,unauthorized_access,medium,2026-05-11
300,1037,data_copy,high,2026-05-22
301,1123,data_copy,medium,2026-05-08
302,1144,data_copy,medium,2026-05-14
303,1009,privilege_escalation,low,2026-05-02
304,1075,unauthorized_access,high,2026-05-31
305,1060,policy_violation,medium,2026-05-04
306,1051,privilege_escalation,low,2026-05-15
307,1046,privilege_escalation,low,2026-05-18
308,1071,policy_violation,low,2026-05-11
309,1140,data_copy,low,2026-05-27
310,1064,data_copy,medium,2026-05-19
311,1115,privilege_escalation,high,2026-05-18
312,1021,privilege_escalation,low,2026-05-09
313,1005,privilege_escalation,high,2026-05-25
314,1006,policy_violation,low,2026-05-22
315,1043,privilege_escalation,high,2026-05-28
316,1026,privilege_escalation,high,2026-05-23
317,1093,unauthorized_access,high,2026-05-30
318,1054,policy_violation,low,2026-05-05
319,1128,policy_violation,high,2026-05-10
320,1131,unauthorized_access,medium,2026-05-17
321,1139,data_copy,low,2026-05-20
322,1025,policy_violation,low,2026-05-13
323,1140,privilege_escalation,low,2026-05-04
324,1065,privilege_escalation,low,2026-05-28
325,1004,data_copy,high,2026-05-30
326,1127,unauthorized_access,high,2026-05-14
327,1109,unauthorized_access,low,2026-05-08
328,1016,unauthorized_access,low,2026-05-21
329,1142,privilege_escalation,low,2026-05-15
330,1102,unauthorized_access,high,2026-05-03
331,1113,unauthorized_access,high,2026-05-17
332,1074,privilege_escalation,low,2026-05-15
333,1053,data_copy,high,2026-05-01
334,1118,privilege_escalation,low,2026-05-05
335,1063,unauthorized_access,low,2026-05-08
336,1141,data_copy,low,2026-05-09
337,1045,unauthorized_access,low,2026-05-26
338,1062,privilege_escalation,low,2026-05-26
339,1141,privilege_escalation,medium,2026-05-02
340,1081,data_copy,medium,2026-05-05
341,1073,unauthorized_access,low,2026-05-30
342,1141,unauthorized_access,low,2026-05-04
343,1016,data_copy,low,2026-05-12
344,1097,policy_violation,high,2026-05-19
345,1104,privilege_escalation,low,2026-05-27
346,1064,privilege_escalation,low,2026-05-24
347,1070,unauthorized_access,low,2026-05-02
348,1140,privilege_escalation,low,2026-05-16
349,1130,data_copy,medium,2026-05-02
350,1143,privilege_escalation,low,2026-05-21
351,1081,data_copy,low,2026-05-10
352,1095,privilege_escalation,high,2026-05-26
353,1123,policy_violation,high,2026-05-10
354,1038,unauthorized_access,high,2026-05-17
355,1042,policy_violation,high,2026-05-12
356,1109,data_copy,medium,2026-05-07
357,1081,unauthorized_access,high,2026-05-09
358,1007,privilege_escalation,medium,2026-05-14
359,1056,privilege_escalation,high,2026-05-18
360,1133,policy_violation,high,2026-05-31
361,1061,unauthorized_access,high,2026-05-10
362,1065,privilege_escalation,high,2026-05-16
363,1093,data_copy,low,2026-05-01
364,1085,policy_violation,low,2026-05-09
365,1025,privilege_escalation,low,2026-05-13
366,1006,data_copy,medium,2026-05-29
367,1008,data_copy,high,2026-05-16
368,1053,policy_violation,high,2026-05-16
369,1019,policy_violation,medium,2026-05-02
370,1009,policy_violation,low,2026-05-09
371,1008,data_copy,low,2026-05-30
372,1038,unauthorized_access,medium,2026-05-13
373,1023,unauthorized_access,medium,2026-05-08
374,1087,unauthorized_access,low,2026-05-23
375,1129,unauthorized_access,low,2026-05-11
376,1007,unauthorized_access,high,2026-05-17
377,1107,unauthorized_access,high,2026-05-20
378,1112,privilege_escalation,low,2026-05-31
379,1024,privilege_escalation,medium,2026-05-11
380,1130,policy_violation,high,2026-05-11
381,1146,unauthorized_access,medium,2026-05-16
382,1083,privilege_escalation,high,2026-05-07
383,1106,data_copy,low,2026-05-22
384,1100,data_copy,high,2026-05-01
385,1056,unauthorized_access,low,2026-05-23
386,1092,data_copy,medium,2026-05-30
387,1032,privilege_escalation,low,2026-05-15
388,1077,data_copy,high,2026-05-18
389,1070,unauthorized_access,low,2026-05-28
390,1093,policy_violation,medium,2026-05-29
391,1010,policy_violation,high,2026-05-14
392,1123,privilege_escalation,medium,2026-05-13
393,1074,privilege_escalation,high,2026-05-24
394,1034,privilege_escalation,high,2026-05-02
395,1084,privilege_escalation,low,2026-05-20
396,1111,unauthorized_access,medium,2026-05-22
397,1033,policy_violation,medium,2026-05-24
398,1088,policy_violation,high,2026-05-28
399,1097,unauthorized_access,low,2026-05-11
400,1057,data_copy,medium,2026-05-19
401,1150,policy_violation,low,2026-05-28
402,1032,unauthorized_access,high,2026-05-22
403,1125,data_copy,low,2026-05-30
404,1108,privilege_escalation,low,2026-05-06
405,1002,policy_violation,high,2026-05-17
406,1059,unauthorized_access,high,2026-05-22
407,1033,policy_violation,low,2026-05-01
408,1096,policy_violation,medium,2026-05-25
409,1105,unauthorized_access,medium,2026-05-20
410,1014,privilege_escalation,high,2026-05-05
411,1059,data_copy,high,2026-05-01
412,1015,unauthorized_access,low,2026-05-13
413,1029,data_copy,medium,2026-05-01
414,1112,unauthorized_access,low,2026-05-12
415,1109,unauthorized_access,high,2026-05-09
416,1123,policy_violation,high,2026-05-22
417,1047,data_copy,low,2026-05-29
418,1058,data_copy,low,2026-05-26
419,1093,data_copy,low,2026-05-30
420,1085,policy_violation,medium,2026-05-13
421,1053,unauthorized_access,medium,2026-05-10
422,1086,policy_violation,high,2026-05-16
423,1064,unauthorized_access,medium,2026-05-06
424,1082,unauthorized_access,medium,2026-05-21
425,1002,unauthorized_access,high,2026-05-22
426,1060,unauthorized_access,medium,2026-05-30
427,1084,privilege_escalation,low,2026-05-08
428,1048,unauthorized_access,high,2026-05-23
429,1118,policy_violation,medium,2026-05-07
430,1132,data_copy,high,2026-05-25
431,1026,unauthorized_access,medium,2026-05-25
432,1084,policy_violation,medium,2026-05-13
433,1150,policy_violation,medium,2026-05-25
434,1020,policy_violation,low,2026-05-17
435,1093,policy_violation,high,2026-05-12
436,1048,policy_violation,medium,2026-05-27
437,1121,unauthorized_access,medium,2026-05-11
438,1095,data_copy,low,2026-05-06
439,1061,unauthorized_access,high,2026-05-15
440,1061,unauthorized_access,high,2026-05-05
441,1080,data_copy,medium,2026-05-16
442,1019,privilege_escalation,low,2026-05-24
443,1013,unauthorized_access,low,2026-05-11
444,1130,data_copy,low,2026-05-10
445,1075,unauthorized_access,medium,2026-05-29
446,1151,data_copy,high,2026-05-08
447,1138,privilege_escalation,low,2026-05-24
448,1003,policy_violation,medium,2026-05-05
449,1008,data_copy,medium,2026-05-10
450,1080,unauthorized_access,low,2026-05-27
451,1107,unauthorized_access,low,2026-05-10
452,1040,privilege_escalation,medium,2026-05-01
453,1119,privilege_escalation,low,2026-05-13
454,1008,data_copy,medium,2026-05-20
455,1074,policy_violation,low,2026-05-23
456,1027,unauthorized_access,high,2026-05-18
457,1095,policy_violation,high,2026-05-23
458,1131,privilege_escalation,medium,2026-05-05
459,1006,privilege_escalation,medium,2026-05-16
460,1010,data_copy,low,2026-05-06
461,1029,privilege_escalation,medium,2026-05-22
462,1148,data_copy,high,2026-05-31
463,1079,data_copy,high,2026-05-21
464,1066,policy_violation,low,2026-05-10
465,1012,policy_violation,low,2026-05-07
466,1013,data_copy,low,2026-05-20
467,1108,data_copy,low,2026-05-29
468,1102,data_copy,medium,2026-05-16
469,1091,privilege_escalation,low,2026-05-01
470,1062,policy_violation,high,2026-05-25
471,1131,privilege_escalation,medium,2026-05-07
472,1009,policy_violation,low,2026-05-25
473,1125,privilege_escalation,low,2026-05-12
474,1019,policy_violation,medium,2026-05-27
475,1090,data_copy,medium,2026-05-25
476,1087,policy_violation,high,2026-05-23
477,1018,privilege_escalation,high,2026-05-15
478,1104,unauthorized_access,high,2026-05-02
479,1126,policy_violation,medium,2026-05-27
480,1049,privilege_escalation,medium,2026-05-18
481,1102,policy_violation,high,2026-05-04
482,1074,privilege_escalation,high,2026-05-25
483,1138,unauthorized_access,medium,2026-05-13
484,1085,policy_violation,medium,2026-05-23
485,1038,data_copy,low,2026-05-09
486,1135,privilege_escalation,high,2026-05-04
487,1012,privilege_escalation,high,2026-05-09
488,1052,unauthorized_access,low,2026-05-23
489,1105,data_copy,high,2026-05-24
490,1092,unauthorized_access,high,2026-05-01
491,1024,policy_violation,low,2026-05-25
492,1031,unauthorized_access,low,2026-05-28
493,1082,privilege_escalation,high,2026-05-08
494,1023,policy_violation,medium,2026-05-01
495,1071,policy_violation,high,2026-05-30
496,1072,data_copy,low,2026-05-29
497,1118,privilege_escalation,medium,2026-05-16
498,1143,unauthorized_access,medium,2026-05-24
499,1038,unauthorized_access,low,2026-05-15
500,1051,policy_violation,high,2026-05-12
501,1051,data_copy,high,2026-05-10
502,1051,policy_violation,high,2026-05-14
503,1051,privilege_escalation,high,2026-05-11
504,1051,policy_violation,high,2026-05-14
505,1051,policy_violation,high,2026-05-11
506,1051,policy_violation,high,2026-05-11
507,1051,privilege_escalation,high,2026-05-10
508,1051,data_copy,high,2026-05-14
509,1051,privilege_escalation,high,2026-05-12
510,1051,policy_violation,high,2026-05-14
511,1051,unauthorized_access,high,2026-05-14
512,1051,unauthorized_access,high,2026-05-11
513,1051,privilege_escalation,high,2026-05-11
514,1051,unauthorized_access,high,2026-05-12
515,1051,privilege_escalation,high,2026-05-12
516,1051,data_copy,high,2026-05-11
517,1051,privilege_escalation,high,2026-05-14
518,1051,privilege_escalation,high,2026-05-11
519,1051,privilege_escalation,high,2026-05-13
520,1051,policy_violation,high,2026-05-13
521,1051,data_copy,high,2026-05-11
522,1051,privilege_escalation,high,2026-05-12
523,1051,policy_violation,high,2026-05-11
524,1051,policy_violation,high,2026-05-14
