Страна,Товар,Количество
Бразилия,Планшет,202
Индия,Наушники,345
Бразилия,Планшет,146
Германия,Смартфон,403
Китай,Ноутбук,164
США,Смартфон,458
Германия,Смартфон,481
Бразилия,Наушники,439
Индия,Ноутбук,242
Бразилия,Ноутбук,175
Индия,Ноутбук,49
Китай,Ноутбук,483
Бразилия,Наушники,108
Индия,Смартфон,161
Индия,Ноутбук,119
Индия,Планшет,149
Китай,Планшет,465
Бразилия,Смартфон,150
Китай,Наушники,432
США,Телевизор,293
США,Телевизор,143
Бразилия,Планшет,419
Китай,Камера,476
Индия,Смартфон,160
Индия,Телевизор,11
Бразилия,Планшет,138
США,Наушники,457
США,Телевизор,78
Индия,Планшет,77
Бразилия,Планшет,441
Китай,Ноутбук,254
США,Наушники,409
Китай,Ноутбук,258
США,Смартфон,320
США,Ноутбук,291
Германия,Ноутбук,263
США,Телевизор,85
Бразилия,Планшет,323
Бразилия,Наушники,42
Китай,Ноутбук,374
США,Наушники,125
Китай,Камера,425
Германия,Ноутбук,241
Китай,Смартфон,459
Китай,Ноутбук,487
США,Телевизор,280
Германия,Планшет,188
Китай,Смартфон,302
Бразилия,Смартфон,218
Германия,Смартфон,102
Германия,Ноутбук,42
Бразилия,Смартфон,288
Китай,Наушники,167
Германия,Камера,109
США,Наушники,232
Германия,Ноутбук,229
Китай,Планшет,353
Бразилия,Смартфон,164
Бразилия,Планшет,387
Китай,Наушники,73
Индия,Смартфон,136
США,Камера,353
Бразилия,Телевизор,379
Германия,Планшет,70
США,Смартфон,425
Германия,Планшет,487
США,Ноутбук,269
Бразилия,Камера,49
США,Планшет,316
США,Телевизор,130
США,Телевизор,444
Индия,Наушники,5
США,Смартфон,428
Германия,Планшет,27
Китай,Планшет,149
США,Смартфон,264
Бразилия,Телевизор,230
США,Ноутбук,200
Бразилия,Телевизор,50
Германия,Наушники,67
Бразилия,Камера,300
Китай,Ноутбук,381
Бразилия,Смартфон,259
Бразилия,Ноутбук,342
Китай,Смартфон,130
США,Телевизор,215
Бразилия,Камера,172
Германия,Планшет,102
Германия,Смартфон,291
Китай,Камера,354
США,Планшет,471
Индия,Наушники,116
Бразилия,Смартфон,264
Китай,Планшет,150
Бразилия,Камера,442
Германия,Наушники,453
Индия,Ноутбук,477
Индия,Наушники,311
Китай,Телевизор,208
Индия,Телевизор,446
Бразилия,Ноутбук,158
Германия,Смартфон,121
Германия,Камера,55
Китай,Телевизор,12
Китай,Наушники,145
Бразилия,Ноутбук,400
Германия,Ноутбук,136
Китай,Планшет,468
Китай,Камера,144
Индия,Камера,30
Китай,Смартфон,237
Германия,Телевизор,279
США,Смартфон,348
Бразилия,Камера,115
Бразилия,Наушники,104
Германия,Ноутбук,118
Китай,Ноутбук,5
Китай,Камера,360
Германия,Ноутбук,248
Бразилия,Ноутбук,364
Китай,Ноутбук,321
Бразилия,Телевизор,121
Бразилия,Планшет,149
Бразилия,Смартфон,84
США,Наушники,454
США,Наушники,406
Индия,Наушники,466
США,Планшет,456
Бразилия,Телевизор,231
Германия,Камера,288
Бразилия,Камера,161
Германия,Планшет,272
Германия,Камера,460
США,Наушники,38
Китай,Смартфон,226
США,Телевизор,292
США,Телевизор,481
Китай,Планшет,151
Бразилия,Наушники,237
Индия,Камера,66
Индия,Наушники,361
Бразилия,Планшет,341
США,Наушники,258
США,Смартфон,249
Германия,Планшет,457
США,Смартфон,449
США,Ноутбук,331
Бразилия,Смартфон,323
Бразилия,Ноутбук,180
Бразилия,Ноутбук,190
Индия,Смартфон,407
Германия,Планшет,154
Бразилия,Камера,196
Индия,Наушники,311
Китай,Камера,262
Бразилия,Планшет,427
Китай,Телевизор,143
Китай,Смартфон,342
Индия,Ноутбук,316
Китай,Наушники,101
Германия,Планшет,244
Бразилия,Смартфон,490
Китай,Планшет,12
Индия,Смартфон,239
Германия,Смартфон,49
США,Камера,42
США,Ноутбук,166
Германия,Планшет,82
Индия,Планшет,429
Германия,Камера,291
Бразилия,Наушники,158
Бразилия,Наушники,216
США,Ноутбук,490
Китай,Ноутбук,158
Индия,Телевизор,462
США,Камера,134
Китай,Наушники,67
Китай,Смартфон,336
Бразилия,Планшет,7
Германия,Планшет,73
Бразилия,Телевизор,399
Китай,Наушники,405
Индия,Ноутбук,163
Китай,Ноутбук,347
Индия,Ноутбук,206
Бразилия,Ноутбук,276
Индия,Наушники,466
США,Планшет,256
Китай,Планшет,266
Бразилия,Смартфон,25
Бразилия,Телевизор,450
Бразилия,Камера,281
Бразилия,Планшет,253
Индия,Наушники,310
Бразилия,Смартфон,289
Германия,Смартфон,164
Китай,Камера,95
Бразилия,Наушники,270
Китай,Телевизор,321
Германия,Наушники,110
Германия,Телевизор,336
Китай,Наушники,310
США,Ноутбук,381
Индия,Камера,483
Бразилия,Планшет,390
Индия,Смартфон,25
Индия,Планшет,141
Германия,Смартфон,117
Германия,Наушники,392
Китай,Наушники,405
США,Ноутбук,482
Индия,Камера,452
Китай,Планшет,25
Китай,Телевизор,79
Бразилия,Ноутбук,68
США,Планшет,173
Китай,Планшет,444
Китай,Ноутбук,12
США,Наушники,288
США,Планшет,128
Китай,Наушники,96
США,Ноутбук,92
Китай,Наушники,141
Китай,Смартфон,31
Бразилия,Телевизор,334
Китай,Камера,146
Германия,Телевизор,477
Индия,Наушники,316
Бразилия,Ноутбук,349
Китай,Планшет,43
Бразилия,Смартфон,254
Китай,Смартфон,130
Бразилия,Планшет,60
Бразилия,Наушники,151
Индия,Камера,467
Германия,Смартфон,287
Бразилия,Телевизор,499
Индия,Смартфон,5
США,Камера,467
Германия,Наушники,418
Бразилия,Наушники,266
США,Смартфон,130
США,Наушники,382
Индия,Камера,267
США,Планшет,178
Германия,Ноутбук,253
Бразилия,Ноутбук,415
Бразилия,Ноутбук,56
Индия,Телевизор,457
США,Планшет,83
Германия,Планшет,99
Бразилия,Камера,149
США,Смартфон,329
Индия,Смартфон,190
Германия,Телевизор,494
Германия,Телевизор,371
Бразилия,Наушники,80
США,Камера,252
Германия,Телевизор,260
Бразилия,Смартфон,103
Индия,Телевизор,40
Китай,Планшет,273
Бразилия,Телевизор,359
Бразилия,Камера,380
Индия,Ноутбук,308
Германия,Смартфон,221
Бразилия,Камера,308
Бразилия,Ноутбук,420
Бразилия,Камера,124
Бразилия,Смартфон,422
США,Планшет,231
США,Смартфон,178
Германия,Смартфон,63
Бразилия,Наушники,116
Индия,Телевизор,191
Индия,Планшет,256
Германия,Телевизор,7
Бразилия,Наушники,155
Бразилия,Телевизор,92
Китай,Наушники,470
Индия,Планшет,14
США,Планшет,86
Китай,Планшет,133
США,Смартфон,183
США,Смартфон,386
США,Смартфон,62
Индия,Камера,219
Индия,Смартфон,405
Германия,Наушники,246
Германия,Телевизор,230
США,Ноутбук,79
Китай,Планшет,149
Индия,Ноутбук,471
Китай,Наушники,314
Бразилия,Наушники,376
Индия,Планшет,423
Индия,Телевизор,389
Германия,Смартфон,65
Бразилия,Камера,474
Бразилия,Планшет,242
Индия,Планшет,493
США,Планшет,213
Германия,Ноутбук,181
Германия,Камера,338
Индия,Телевизор,485
Китай,Телевизор,173
США,Наушники,160
Индия,Наушники,164
США,Наушники,465
США,Планшет,483
США,Телевизор,497
Индия,Камера,188
Германия,Планшет,395
Германия,Ноутбук,191
США,Наушники,405
Китай,Планшет,308
Индия,Ноутбук,183
Китай,Телевизор,282
Индия,Камера,196
США,Смартфон,34
Германия,Наушники,52
Бразилия,Ноутбук,252
Бразилия,Ноутбук,82
Китай,Телевизор,232
США,Смартфон,227
США,Планшет,221
Китай,Камера,413
Китай,Ноутбук,422
Бразилия,Ноутбук,42
США,Наушники,21
Индия,Наушники,42
Бразилия,Планшет,397
США,Камера,113
Бразилия,Смартфон,105
Индия,Телевизор,192
Германия,Планшет,17
Германия,Наушники,120
Германия,Телевизор,393
Германия,Наушники,425
Германия,Смартфон,130
Индия,Планшет,60
Китай,Телевизор,48
Китай,Камера,29
Германия,Камера,10
Германия,Камера,242
Германия,Ноутбук,314
Бразилия,Камера,444
США,Телевизор,232
Бразилия,Телевизор,277
США,Телевизор,284
Германия,Ноутбук,203
Германия,Камера,247
Бразилия,Ноутбук,290
Бразилия,Телевизор,264
США,Камера,443
Китай,Камера,214
США,Наушники,200
Бразилия,Наушники,433
Индия,Смартфон,79
Бразилия,Планшет,401
Индия,Наушники,444
Бразилия,Наушники,344
Китай,Камера,467
США,Смартфон,69
Индия,Камера,416
США,Камера,428
Индия,Наушники,87
США,Ноутбук,101
Бразилия,Ноутбук,8
Германия,Телевизор,333
США,Ноутбук,87
Индия,Планшет,109
Индия,Ноутбук,435
Германия,Ноутбук,408
Бразилия,Телевизор,483
США,Камера,17
Китай,Камера,133
Германия,Телевизор,232
Бразилия,Ноутбук,314
Китай,Смартфон,415
Индия,Смартфон,366
Индия,Телевизор,228
США,Ноутбук,139
Китай,Смартфон,436
Индия,Ноутбук,399
США,Ноутбук,211
Бразилия,Ноутбук,391
США,Наушники,499
Индия,Камера,28
Германия,Ноутбук,51
Германия,Наушники,491
Германия,Телевизор,442
Индия,Смартфон,261
Германия,Камера,261
Китай,Смартфон,350
Бразилия,Камера,352
США,Смартфон,8
США,Камера,320
Индия,Смартфон,138
Германия,Смартфон,38
Германия,Смартфон,111
Бразилия,Телевизор,368
Китай,Ноутбук,220
США,Планшет,337
Индия,Планшет,256
США,Камера,360
Индия,Ноутбук,409
Китай,Камера,329
Бразилия,Смартфон,434
Китай,Телевизор,451
Китай,Телевизор,292
США,Камера,382
Германия,Телевизор,324
Бразилия,Планшет,105
США,Планшет,169
Китай,Телевизор,217
Индия,Телевизор,378
США,Камера,119
Китай,Камера,255
Германия,Смартфон,370
США,Планшет,266
Бразилия,Телевизор,164
Индия,Смартфон,140
Китай,Камера,347
США,Планшет,488
США,Смартфон,258
Германия,Камера,374
Германия,Телевизор,269
Бразилия,Телевизор,181
Индия,Наушники,160
Бразилия,Ноутбук,351
Бразилия,Смартфон,288
