,City,Client_ID
338,"Франция, Прованс — Альпы — Лазурный Берег, Канны",1
339,"Франция, Прованс — Альпы — Лазурный Берег, Ла-Сьота",1
340,"Франция, Прованс — Альпы — Лазурный Берег, Марсель",1
341,"Франция, Прованс — Альпы — Лазурный Берег, Сан-Тропе",1
342,"Франция, Прованс — Альпы — Лазурный Берег, Сен-Максимен-ла-Сент-Бом",1
343,"Франция, Прованс — Альпы — Лазурный Берег, Эз",1
344,"Франция, Прованс — Альпы — Лазурный Берег, Экс-ан-Прованс",1
345,Фрязино,2
346,Хабаровск,67
347,Ханты-Мансийск,14
348,Харбин,1
349,Химки,16
350,Чайковский,20
351,Чапаевск,4
352,Чебоксары,88
353,Челябинск,107
354,Череповец,47
355,Чехов,14
356,Чита,11
357,Шумерля,1
358,Щёлково,8
359,Экс-ан-Прованс,5
360,Электросталь,2
361,Электроугли,5
362,Эперне,9
363,Югорск,2
364,Южно-Сахалинск,129
365,Южноуральск,1
366,Якутск,26
367,Ялта,1
368,Ярославль,128
369,Ярцево,1
