Номер кейса,Номер задачи,ID клиента,Пол,Канал обращения,Ответственный отдел,Категория услуг,Услуга,Программа,Дата и время создания (МСК),Что делали,Страна,Город,"""Технический кейс"""
32471,32471.1,19021,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,29.11.2024 16:21,Инфо,Россия,Москва,1
32318,32318.1,19020,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 22:00,Инфо,Россия,Москва,1
32280,32280.1,19018,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 19:03,Инфо,Россия,Москва,1
32292,32292.1,19018,,Мессенджер,Первая Линия,Информационная поддержка,Техническая поддержка по продуктам КС,Базовый,28.11.2024 19:32,Инфо,Россия,Москва,0
32286,32286.1,19017,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 19:12,Инфо,Россия,Москва,1
32304,32304.1,19017,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,28.11.2024 20:41,"Инфо, Подборка",Россия,Москва,0
32288,32288.1,19016,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 19:17,Инфо,Россия,Москва,1
32300,32300.1,19016,,Мессенджер,Путешествия,Размещение,Отели,Базовый,28.11.2024 20:22,Подборка,Россия,Москва,0
32302,32302.1,19016,,Мессенджер,Лайфстайл,Сервисы,Сервисы,Базовый,28.11.2024 20:30,"Инфо, Подборка",Россия,Москва,0
32300,32300.2,19016,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,28.11.2024 20:47,Подборка,Россия,Москва,0
32717,32717.1,19016,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,30.11.2024 20:24,Подборка,Россия,Москва,0
32717,32717.2,19016,,Мессенджер,Путешествия,Размещение,Отели,Базовый,30.11.2024 20:29,Подборка,Россия,Москва,0
32275,32275.1,19015,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 18:44,Инфо,Россия,Москва,1
32272,32272.1,19013,,Мессенджер,Первая Линия,Технические вопросы,Техническая проверка,VIP,28.11.2024 18:42,Инфо,Россия,Москва,0
32258,32258.1,19011,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 17:47,Инфо,Россия,Санкт-Петербург,1
32671,32671.1,19011,,Мессенджер,Лайфстайл,Товары,Товары,Базовый,30.11.2024 17:34,Инфо,Россия,Санкт-Петербург,0
32256,32256.1,19007,,Мессенджер,Путешествия,Путешествия,Авиа,VIP,28.11.2024 17:41,"Инфо, Подборка",Россия,Москва,0
32253,32253.1,19006,,Мессенджер,Первая Линия,Технические вопросы,Техническая проверка,VIP,28.11.2024 17:39,Инфо,Россия,Москва,0
32219,32219.1,19004,,Телефон,Лайфстайл,Мероприятия,Представления,VIP,28.11.2024 16:17,,Россия,Москва,0
32216,32216.1,18996,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 16:05,Инфо,Россия,Ростов-на-Дону,1
32226,32226.1,18996,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,28.11.2024 16:36,Инфо,Россия,Ростов-на-Дону,0
32226,32226.2,18996,,Мессенджер,Путешествия,Путешествия,ВИП обслуживание в аэропорту,Базовый,28.11.2024 16:58,Инфо,Россия,Ростов-на-Дону,0
32710,32710.1,18995,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,30.11.2024 20:01,Инфо,Россия,Симферополь,0
32204,32204.1,18993,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 15:04,Инфо,Россия,Санкт-Петербург,1
32204,32204.2,18993,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 15:04,Инфо,Россия,Санкт-Петербург,1
32192,32192.1,18992,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 14:25,Инфо,Россия,Москва,1
32200,32200.1,18992,,Мессенджер,Лайфстайл,Товары,Коллекция подарков,Базовый,28.11.2024 14:48,Подборка,Россия,Москва,0
32191,32191.1,18991,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,28.11.2024 14:22,Инфо,Россия,Сибай,1
32182,32182.1,18990,,Телефон,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,28.11.2024 14:06,Передано партнеру,Россия,Москва,0
32172,32172.1,18989,,Телефон,Путешествия,Путешествия,Трансфер,Базовый,28.11.2024 13:32,Инфо,Россия,Москва,0
32159,32159.1,18988,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,28.11.2024 12:51,Инфо,Россия,Москва,1
32178,32178.1,18988,,Мессенджер,Лайфстайл,Гастро,Гастро,VIP,28.11.2024 13:39,Подборка,Россия,Москва,0
32153,32153.1,18987,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,28.11.2024 12:36,Инфо,Россия,Альметьевск,1
32167,32167.1,18987,,Мессенджер,Путешествия,Путешествия,Поезда,VIP,28.11.2024 13:17,Инфо,Россия,Альметьевск,0
32193,32193.1,18986,,Мессенджер,Путешествия,Технические вопросы,Техническая проверка,VIP,28.11.2024 14:26,Инфо,Россия,Москва,0
32142,32142.1,18984,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,28.11.2024 12:03,Инфо,Россия,Тольятти,1
32154,32154.1,18984,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,28.11.2024 12:37,Бронирование/покупка,Россия,Тольятти,0
32165,32165.1,18984,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,28.11.2024 13:03,,Россия,Тольятти,0
32133,32133.1,18982,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,28.11.2024 11:35,Инфо,Россия,Якутск,1
32136,32136.1,18981,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,28.11.2024 11:47,Инфо,Россия,Якутск,1
32087,32087.1,18975,,Мессенджер,Первая Линия,Гастро,Ресторан,Базовый,28.11.2024 05:18,Подборка,Россия,Новосибирск,0
32098,32098.1,18973,,Телефон,Первая Линия,Мероприятия,Представления,Базовый,28.11.2024 06:59,Бронирование/покупка,Россия,Санкт-Петербург,0
32078,32078.1,18971,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 21:57,Инфо,Россия,Москва,1
32084,32084.1,18971,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,28.11.2024 02:56,Инфо,Россия,Москва,0
32339,32339.1,18971,,Мессенджер,Первая Линия,Размещение,Отели,Базовый,29.11.2024 06:23,Инфо,Россия,Москва,0
32340,32340.1,18971,,Мессенджер,Первая Линия,Гастро,Ресторан,Базовый,29.11.2024 06:26,Инфо,Россия,Москва,0
32404,32404.1,18971,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,29.11.2024 13:27,Инфо,Россия,Москва,0
32070,32070.1,18970,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 20:59,Инфо,Россия,Москва,1
32176,32176.1,18969,,Мессенджер,Путешествия,Размещение,Отели,VIP,28.11.2024 13:37,Снял запрос,Не указан,Не указан,0
32060,32060.1,18968,,Телефон,Лайфстайл,Информационная поддержка,Информационный запрос,Базовый,27.11.2024 20:17,Снял запрос,Россия,Москва,0
32048,32048.1,18967,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 19:43,Инфо,Россия,Москва,1
32054,32054.1,18967,,Телефон,Путешествия,Путешествия,Круиз с проживанием,Базовый,27.11.2024 19:59,Подборка,Россия,Москва,0
32054,32054.2,18967,,Телефон,Путешествия,Размещение,Индивидуальный тур,Базовый,27.11.2024 19:59,Подборка,Россия,Москва,0
32054,32054.3,18967,,Телефон,Путешествия,Размещение,Индивидуальный тур,Базовый,29.11.2024 12:15,Подборка,Россия,Москва,0
32054,32054.4,18967,,Телефон,Путешествия,Путешествия,Авиа,Базовый,29.11.2024 12:15,Подборка,Россия,Москва,0
32054,32054.5,18967,,Телефон,Путешествия,Путешествия,Авиа,Базовый,29.11.2024 12:15,Подборка,Россия,Москва,0
32064,32064.1,18966,,Мессенджер,Лайфстайл,Мероприятия,Спорт мероприятия,Базовый,27.11.2024 20:34,Инфо,Не указан,Не указан,0
32081,32081.1,18966,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 22:10,Инфо,Не указан,Не указан,1
32418,32418.1,18965,,Мессенджер,Путешествия,Размещение,Отели,Базовый,29.11.2024 14:23,"Инфо, Подборка",Россия,Брянск,0
32418,32418.2,18965,,Мессенджер,Путешествия,Путешествия,Аренда транспорта без водителя,Базовый,29.11.2024 14:27,"Инфо, Подборка",Россия,Брянск,0
32051,32051.1,18963,,Мессенджер,Лайфстайл,Сервисы,Сервисы,Базовый,27.11.2024 19:48,Подборка,Россия,Москва,0
32103,32103.1,18963,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,28.11.2024 07:39,Подборка,Россия,Москва,0
32016,32016.1,18962,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 17:17,Инфо,Россия,Москва,1
32215,32215.1,18962,,Телефон,Лайфстайл,Мероприятия,Спорт мероприятия,Базовый,28.11.2024 16:02,"Инфо, Бронирование/покупка",Россия,Москва,0
32006,32006.1,18961,,Телефон,Лайфстайл,Товары,Цветы,Базовый,27.11.2024 16:35,Подборка,Россия,Заринск,0
32008,32008.1,18961,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 16:39,Инфо,Россия,Заринск,1
31978,31978.1,18957,,Телефон,Лайфстайл,Гастро,Ресторан,Базовый,27.11.2024 14:42,"Подборка, Бронирование/покупка",Россия,Москва,0
31993,31993.1,18957,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 15:15,Инфо,Россия,Москва,1
31998,31998.1,18956,,Мессенджер,Путешествия,Размещение,Отели,Базовый,27.11.2024 16:10,Подборка,Россия,Уфа,0
31998,31998.2,18956,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,27.11.2024 16:12,Подборка,Россия,Уфа,0
31957,31957.1,18955,,Мессенджер,Лайфстайл,Информационная поддержка,Информационный запрос,VIP,27.11.2024 13:17,"Инфо, Подборка",Россия,Владивосток,0
31956,31956.1,18954,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,27.11.2024 13:15,Инфо,Россия,Москва,1
31952,31952.1,18952,,Телефон,Лайфстайл,Гастро,Ресторан,Базовый,27.11.2024 13:03,Инфо,Россия,Москва,0
31954,31954.1,18952,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 13:14,Инфо,Россия,Москва,1
31950,31950.1,18951,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,27.11.2024 12:51,Инфо,Россия,Москва,1
31953,31953.1,18951,,Мессенджер,Лайфстайл,Гастро,Гастро,VIP,27.11.2024 13:12,"Инфо, Подборка",Россия,Москва,0
32358,32358.1,18951,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,29.11.2024 09:57,Инфо,Россия,Москва,0
31943,31943.1,18950,,Телефон,Лайфстайл,Мероприятия,Представления,Базовый,27.11.2024 12:41,Бронирование/покупка,Россия,Москва,0
31945,31945.1,18950,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 12:47,Инфо,Россия,Москва,1
31949,31949.1,18949,,Телефон,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,27.11.2024 12:50,Передано партнеру,Россия,Москва,0
31972,31972.1,18949,,Телефон,Первая Линия,Сервисы,Бесплатная юридическая консультация,Базовый,27.11.2024 14:22,Передано партнеру,Россия,Москва,0
31933,31933.1,18945,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,27.11.2024 11:28,Инфо,Россия,Воронеж,1
31940,31940.1,18945,,Мессенджер,Лайфстайл,Сервисы,Юристы и нотариусы,VIP,27.11.2024 12:21,Инфо,Россия,Воронеж,0
31920,31920.1,18943,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,27.11.2024 10:15,Инфо,Россия,Тюмень,1
31924,31924.1,18943,,Мессенджер,Лайфстайл,Товары,Товары,VIP,27.11.2024 10:50,"Инфо, Подборка",Россия,Тюмень,0
31935,31935.1,18942,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,27.11.2024 11:29,Инфо,Россия,Ростов-на-Дону,1
32013,32013.1,18942,,Мессенджер,Путешествия,Размещение,Отели,VIP,27.11.2024 16:52,Подборка,Россия,Ростов-на-Дону,0
31917,31917.1,18941,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 09:56,Инфо,Россия,Краснодар,1
31909,31909.1,18940,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,27.11.2024 09:12,Инфо,Россия,Москва,1
31911,31911.1,18940,,Мессенджер,Лайфстайл,Товары,Животные,VIP,27.11.2024 09:22,Инфо,Россия,Москва,0
31891,31891.1,18938,,Мессенджер,Лайфстайл,Мероприятия,Афиша,Базовый,27.11.2024 03:16,Подборка,Россия,Москва,0
31868,31868.1,18937,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,27.11.2024 01:05,Инфо,Россия,Королёво,1
31923,31923.1,18937,,Мессенджер,Лайфстайл,Мероприятия,Спорт мероприятия,Базовый,27.11.2024 10:40,Инфо,Россия,Королёво,0
31866,31866.1,18936,,Мессенджер,Путешествия,Путешествия,Авиа,Базовый,26.11.2024 23:51,Бронирование/покупка,Россия,Москва,0
31845,31845.1,18935,,Телефон,Путешествия,Размещение,Отели,Базовый,26.11.2024 21:41,Инфо,Россия,Тверь,0
31828,31828.1,18934,,Телефон,Путешествия,Размещение,Отели,Базовый,26.11.2024 20:59,Инфо,Россия,Санкт-Петербург,0
31848,31848.1,18934,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 21:48,Инфо,Россия,Санкт-Петербург,1
31816,31816.1,18933,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 20:39,Инфо,Россия,Москва,1
31814,31814.1,18932,,Телефон,Путешествия,Информационная поддержка,Информационный запрос,Базовый,26.11.2024 20:37,Инфо,Россия,Санкт-Петербург,0
31851,31851.1,18931,,Телефон,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,26.11.2024 21:51,Инфо,Россия,Самара,0
31784,31784.1,18929,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 18:40,Инфо,Россия,Москва,1
31789,31789.1,18929,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,26.11.2024 18:54,Бронирование/покупка,Россия,Москва,0
32058,32058.1,18929,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,27.11.2024 20:14,Бронирование/покупка,Россия,Москва,0
31783,31783.1,18928,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 18:34,Инфо,Россия,Москва,1
31819,31819.1,18927,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,26.11.2024 20:43,"Инфо, Подборка, Бронирование/покупка",Россия,Москва,0
31849,31849.1,18927,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 21:49,Инфо,Россия,Москва,1
31782,31782.1,18926,,Телефон,Лайфстайл,Мероприятия,Афиша,Базовый,26.11.2024 18:18,Подборка,Россия,Йошкар-Ола,0
31782,31782.2,18926,,Телефон,Лайфстайл,Мероприятия,Афиша,Базовый,26.11.2024 18:18,Подборка,Россия,Йошкар-Ола,0
31782,31782.3,18926,,Телефон,Лайфстайл,Гастро,Ресторан,Базовый,26.11.2024 18:19,"Инфо, Подборка",Россия,Йошкар-Ола,0
31785,31785.1,18925,,Мессенджер,Лайфстайл,Сервисы,Медицина,VIP,26.11.2024 18:42,Инфо,Россия,Ростов-на-Дону,0
31772,31772.1,18924,,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 17:21,Инфо,Россия,Москва,1
31808,31808.1,18924,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,26.11.2024 20:15,Бронирование/покупка,Россия,Москва,0
31762,31762.1,18923,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,Базовый,26.11.2024 16:50,Инфо,Россия,Екатеринбург,0
31752,31752.1,18921,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 15:53,Инфо,Россия,Москва,1
31755,31755.1,18921,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 16:03,Инфо,Россия,Москва,0
31721,31721.1,18919,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 14:31,Инфо,Россия,Москва,1
31719,31719.1,18918,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 14:29,Инфо,Россия,Москва,1
31717,31717.1,18917,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 14:12,Инфо,Россия,Москва,1
31839,31839.1,18917,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,26.11.2024 21:29,Подборка,Россия,Москва,0
32605,32605.1,18917,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,30.11.2024 10:54,Бронирование/покупка,Россия,Москва,0
31702,31702.1,18916,,Телефон,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 13:50,Инфо,Россия,Москва,1
31703,31703.1,18916,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 13:50,Инфо,Россия,Москва,0
31705,31705.1,18915,,Телефон,Путешествия,Размещение,Пакетный тур,Базовый,26.11.2024 13:53,Передано партнеру,Россия,Москва,0
31715,31715.1,18915,,Мессенджер,Путешествия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 14:11,Инфо,Россия,Москва,1
31701,31701.1,18914,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 13:44,Инфо,Россия,Курск,1
31688,31688.1,18913,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 12:37,Инфо,Россия,Казань,1
31763,31763.1,18913,,Мессенджер,Лайфстайл,Гастро,Ресторан,VIP,26.11.2024 16:54,Инфо,Россия,Казань,0
31713,31713.1,18912,,Мессенджер,Первая Линия,Сервисы,Бесплатная юридическая консультация,VIP,26.11.2024 14:09,Передано партнеру,Россия,Москва,0
31685,31685.1,18911,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 12:20,Бронирование/покупка,Россия,Самара,0
31676,31676.1,18910,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,Базовый,26.11.2024 11:25,Инфо,Россия,Москва,1
31694,31694.1,18910,,Мессенджер,Путешествия,Размещение,Размещение,Базовый,26.11.2024 12:54,Инфо,Россия,Москва,0
32271,32271.1,18910,,Мессенджер,Лайфстайл,Гастро,Ресторан,Базовый,28.11.2024 18:38,Бронирование/покупка,Россия,Москва,0
31678,31678.1,18909,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 11:26,Инфо,Россия,Якутск,0
32342,32342.1,18909,,Мессенджер,Первая Линия,Информационная поддержка,Информационный запрос,VIP,29.11.2024 06:28,,Россия,Якутск,0
31728,31728.1,18908,,Телефон,Путешествия,Путешествия,Авиа,VIP,26.11.2024 14:42,Инфо,Россия,Москва,0
31671,31671.1,18907,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 11:07,Инфо,Россия,Чебоксары,1
31665,31665.1,18905,,Мессенджер,Первая Линия,Информационная поддержка,Консьерж программа,VIP,26.11.2024 10:20,Инфо,Россия,Москва,1
31666,31666.1,18905,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 10:35,Инфо,Россия,Москва,0
31984,31984.1,18905,,Мессенджер,Лайфстайл,Мероприятия,Афиша,VIP,27.11.2024 15:01,Подборка,Россия,Москва,0
32144,32144.1,18905,,Мессенджер,Лайфстайл,Мероприятия,Афиша,VIP,28.11.2024 12:09,Подборка,Россия,Москва,0
31673,31673.1,18904,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 11:14,Бронирование/покупка,Не указан,Не указан,0
31778,31778.1,18904,,Мессенджер,Лайфстайл,Мероприятия,Представления,VIP,26.11.2024 18:09,Инфо,Не указан,Не указан,0
