,employee_id,device_id,date,action,duration
125,1115,17,2026-05-01,UPLOAD,241
126,1143,13,2026-05-05,LOGIN,321
127,1050,9,2026-05-10,UPLOAD,34
128,1116,1,2026-05-14,EXPORT,491
129,1071,23,2026-05-19,UPLOAD,121
130,1063,40,2026-05-23,LOGIN,194
131,1070,34,2026-05-07,EXPORT,145
132,1137,36,2026-05-26,EXPORT,406
133,1141,14,2026-05-15,DOWNLOAD,390
134,1104,21,2026-05-28,EXPORT,7
135,1146,21,2026-05-21,DELETE,394
136,1151,28,2026-05-31,LOGIN,416
137,1125,32,2026-05-09,DOWNLOAD,337
138,1114,30,2026-05-27,UPLOAD,344
139,1036,40,2026-05-29,EXPORT,164
140,1046,12,2026-05-10,DOWNLOAD,387
141,1122,29,2026-05-08,DELETE,320
142,1082,1,2026-05-09,DOWNLOAD,419
143,1044,26,2026-05-11,DELETE,65
144,1093,16,2026-05-22,DOWNLOAD,269
145,1068,18,2026-05-08,DOWNLOAD,71
146,1076,33,2026-05-26,UPLOAD,442
147,1077,23,2026-05-18,UPLOAD,99
148,1142,5,2026-05-05,UPLOAD,211
149,1078,21,2026-05-08,DOWNLOAD,72
150,1086,1,2026-05-02,EXPORT,245
151,1009,31,2026-05-31,DOWNLOAD,21
152,1114,18,2026-05-18,UPLOAD,241
153,1081,21,2026-05-19,DOWNLOAD,319
154,1088,7,2026-05-18,EXPORT,419
155,1069,1,2026-05-20,DELETE,225
156,1106,23,2026-05-16,LOGIN,207
157,1065,27,2026-05-04,UPLOAD,193
158,1027,2,2026-05-17,DOWNLOAD,356
159,1136,34,2026-05-06,EXPORT,44
160,1006,16,2026-05-12,UPLOAD,135
161,1053,40,2026-05-07,UPLOAD,182
162,1133,10,2026-05-23,DELETE,133
163,1117,20,2026-05-14,LOGIN,12
164,1146,37,2026-05-12,DOWNLOAD,322
165,1097,25,2026-05-21,DOWNLOAD,196
166,1128,4,2026-05-20,UPLOAD,429
167,1054,32,2026-05-02,EXPORT,277
168,1032,28,2026-05-21,UPLOAD,460
169,1051,40,2026-05-31,DELETE,303
170,1131,13,2026-05-04,LOGIN,229
171,1065,5,2026-05-08,DELETE,222
172,1085,17,2026-05-31,EXPORT,6
173,1013,7,2026-05-10,DOWNLOAD,179
174,1008,10,2026-05-17,EXPORT,320
175,1008,27,2026-05-07,DELETE,181
176,1058,35,2026-05-21,DOWNLOAD,97
177,1124,23,2026-05-10,LOGIN,275
178,1091,16,2026-05-21,UPLOAD,385
179,1103,27,2026-05-17,LOGIN,98
180,1087,15,2026-05-16,UPLOAD,438
181,1136,6,2026-05-31,LOGIN,240
182,1061,39,2026-05-25,DOWNLOAD,434
183,1076,24,2026-05-13,DOWNLOAD,464
184,1114,23,2026-05-31,DOWNLOAD,6
185,1102,5,2026-05-23,UPLOAD,128
186,1107,7,2026-05-18,DOWNLOAD,217
187,1094,22,2026-05-27,EXPORT,161
188,1074,29,2026-05-05,UPLOAD,382
189,1147,31,2026-05-08,DOWNLOAD,417
190,1018,35,2026-05-30,DOWNLOAD,84
191,1113,34,2026-05-31,LOGIN,375
192,1148,19,2026-05-27,EXPORT,99
193,1002,34,2026-05-07,EXPORT,193
194,1030,30,2026-05-30,UPLOAD,357
195,1047,19,2026-05-18,EXPORT,126
196,1043,18,2026-05-23,DOWNLOAD,326
197,1011,1,2026-05-06,UPLOAD,48
198,1019,16,2026-05-28,DELETE,264
199,1131,40,2026-05-13,LOGIN,299
200,1004,28,2026-05-24,LOGIN,192
201,1111,11,2026-05-09,DELETE,309
202,1051,32,2026-05-30,UPLOAD,265
203,1104,26,2026-05-23,DELETE,454
204,1083,10,2026-05-30,EXPORT,49
205,1037,23,2026-05-08,DOWNLOAD,64
206,1059,39,2026-05-12,DELETE,268
207,1108,33,2026-05-10,DELETE,310
208,1105,14,2026-05-07,EXPORT,40
209,1018,9,2026-05-07,UPLOAD,330
210,1025,14,2026-05-17,DOWNLOAD,429
211,1138,36,2026-05-05,DOWNLOAD,14
212,1025,2,2026-05-10,LOGIN,296
213,1084,11,2026-05-21,DOWNLOAD,328
214,1051,14,2026-05-31,DOWNLOAD,107
215,1010,36,2026-05-20,DOWNLOAD,402
216,1125,35,2026-05-15,DOWNLOAD,336
217,1092,25,2026-05-13,EXPORT,115
218,1126,33,2026-05-14,LOGIN,277
219,1113,9,2026-05-17,DELETE,25
220,1114,13,2026-05-07,LOGIN,209
221,1046,10,2026-05-24,UPLOAD,101
222,1070,33,2026-05-21,DELETE,314
223,1011,9,2026-05-04,LOGIN,401
224,1083,40,2026-05-28,LOGIN,388
225,1144,13,2026-05-09,LOGIN,436
226,1130,24,2026-05-19,LOGIN,305
227,1058,40,2026-05-14,LOGIN,141
228,1085,17,2026-05-03,LOGIN,59
229,1079,33,2026-05-29,EXPORT,54
230,1077,23,2026-05-04,EXPORT,24
231,1071,27,2026-05-23,DELETE,368
232,1116,26,2026-05-02,DOWNLOAD,428
233,1067,24,2026-05-08,LOGIN,261
234,1015,11,2026-05-02,DOWNLOAD,209
235,1084,29,2026-05-04,EXPORT,346
236,1003,5,2026-05-02,UPLOAD,465
237,1058,24,2026-05-30,LOGIN,196
238,1027,9,2026-05-25,DELETE,295
239,1143,10,2026-05-29,DOWNLOAD,128
240,1003,11,2026-05-04,DELETE,130
241,1065,31,2026-05-21,LOGIN,197
242,1148,3,2026-05-09,DOWNLOAD,242
243,1011,25,2026-05-02,DOWNLOAD,252
244,1025,40,2026-05-20,LOGIN,313
245,1004,27,2026-05-22,UPLOAD,229
246,1083,1,2026-05-17,LOGIN,193
247,1054,16,2026-05-01,DELETE,265
248,1060,35,2026-05-23,EXPORT,226
249,1138,15,2026-05-06,EXPORT,457
250,1080,34,2026-05-29,EXPORT,111
251,1059,11,2026-05-16,DOWNLOAD,93
252,1046,9,2026-05-04,DOWNLOAD,448
253,1141,24,2026-05-05,LOGIN,94
254,1093,37,2026-05-05,DOWNLOAD,407
255,1132,35,2026-05-09,DELETE,464
256,1136,22,2026-05-05,LOGIN,61
257,1105,40,2026-05-02,DELETE,12
258,1046,38,2026-05-07,EXPORT,462
259,1136,7,2026-05-31,DELETE,406
260,1026,30,2026-05-15,EXPORT,365
261,1151,29,2026-05-26,DOWNLOAD,399
262,1112,39,2026-05-25,LOGIN,450
263,1090,9,2026-05-23,UPLOAD,162
264,1039,1,2026-05-08,DELETE,131
265,1137,3,2026-05-29,LOGIN,9
266,1027,5,2026-05-31,UPLOAD,476
267,1148,11,2026-05-26,LOGIN,241
268,1016,4,2026-05-03,UPLOAD,337
269,1067,33,2026-05-11,LOGIN,316
270,1022,33,2026-05-29,EXPORT,40
271,1073,20,2026-05-25,UPLOAD,117
272,1120,37,2026-05-23,LOGIN,159
273,1136,20,2026-05-10,UPLOAD,36
274,1135,34,2026-05-04,EXPORT,402
275,1076,21,2026-05-12,UPLOAD,429
276,1151,7,2026-05-26,UPLOAD,122
277,1140,16,2026-05-13,LOGIN,326
278,1014,32,2026-05-07,DELETE,8
279,1147,36,2026-05-19,EXPORT,271
280,1019,11,2026-05-27,LOGIN,366
281,1077,29,2026-05-16,DOWNLOAD,489
282,1108,34,2026-05-10,UPLOAD,308
283,1074,10,2026-05-30,DOWNLOAD,234
284,1111,3,2026-05-07,LOGIN,425
285,1125,22,2026-05-03,DELETE,401
286,1093,32,2026-05-02,EXPORT,205
287,1143,20,2026-05-01,LOGIN,302
288,1063,2,2026-05-27,DELETE,415
289,1023,8,2026-05-22,LOGIN,326
290,1010,25,2026-05-16,DELETE,307
291,1142,11,2026-05-13,DOWNLOAD,479
292,1096,24,2026-05-30,DELETE,336
293,1034,26,2026-05-03,EXPORT,16
294,1095,35,2026-05-26,DOWNLOAD,455
295,1039,40,2026-05-28,UPLOAD,30
296,1080,5,2026-05-27,DOWNLOAD,211
297,1150,15,2026-05-14,DOWNLOAD,415
298,1100,14,2026-05-18,UPLOAD,113
299,1023,37,2026-05-11,DOWNLOAD,167
300,1025,18,2026-05-19,DOWNLOAD,17
301,1134,12,2026-05-24,UPLOAD,131
302,1090,3,2026-05-03,UPLOAD,250
303,1006,40,2026-05-20,EXPORT,316
304,1019,33,2026-05-02,DOWNLOAD,260
305,1019,4,2026-05-31,DOWNLOAD,457
306,1110,40,2026-05-24,DOWNLOAD,175
307,1111,26,2026-05-06,EXPORT,378
308,1095,21,2026-05-25,DOWNLOAD,213
309,1087,16,2026-05-30,UPLOAD,254
310,1140,23,2026-05-31,UPLOAD,343
311,1013,24,2026-05-24,UPLOAD,344
312,1086,9,2026-05-29,UPLOAD,63
313,1076,19,2026-05-04,DELETE,475
314,1077,27,2026-05-29,UPLOAD,272
315,1023,40,2026-05-13,EXPORT,484
316,1070,31,2026-05-08,DELETE,161
317,1125,1,2026-05-15,DOWNLOAD,9
318,1058,13,2026-05-01,UPLOAD,437
319,1138,4,2026-05-27,DOWNLOAD,452
320,1068,25,2026-05-25,UPLOAD,375
321,1070,10,2026-05-16,UPLOAD,47
322,1082,23,2026-05-21,DELETE,70
323,1008,30,2026-05-20,UPLOAD,138
324,1114,14,2026-05-05,UPLOAD,217
325,1028,32,2026-05-13,LOGIN,103
326,1067,30,2026-05-17,EXPORT,275
327,1114,5,2026-05-02,EXPORT,150
328,1080,15,2026-05-13,DOWNLOAD,53
329,1145,17,2026-05-02,DOWNLOAD,179
330,1134,33,2026-05-31,DELETE,6
331,1014,12,2026-05-11,DOWNLOAD,393
332,1114,25,2026-05-29,LOGIN,297
333,1107,19,2026-05-15,DOWNLOAD,493
334,1076,23,2026-05-09,UPLOAD,10
335,1083,39,2026-05-22,DOWNLOAD,247
336,1085,5,2026-05-19,DOWNLOAD,46
337,1029,40,2026-05-04,UPLOAD,311
338,1049,21,2026-05-29,LOGIN,471
339,1002,36,2026-05-17,EXPORT,20
340,1089,14,2026-05-15,LOGIN,208
341,1070,6,2026-05-07,LOGIN,220
342,1046,19,2026-05-23,DELETE,77
343,1063,4,2026-05-13,DELETE,71
344,1119,24,2026-05-08,UPLOAD,85
345,1085,26,2026-05-01,DELETE,34
346,1149,19,2026-05-09,EXPORT,31
347,1027,32,2026-05-18,UPLOAD,92
348,1023,35,2026-05-29,DELETE,430
349,1100,40,2026-05-17,DOWNLOAD,68
350,1039,2,2026-05-17,DELETE,438
351,1058,33,2026-05-08,EXPORT,299
352,1045,10,2026-05-03,DELETE,395
353,1142,33,2026-05-29,UPLOAD,333
354,1150,23,2026-05-22,DOWNLOAD,148
355,1017,34,2026-05-22,UPLOAD,60
356,1038,36,2026-05-11,DOWNLOAD,271
357,1090,30,2026-05-02,DOWNLOAD,397
358,1031,39,2026-05-02,EXPORT,261
359,1098,5,2026-05-16,LOGIN,304
360,1058,21,2026-05-17,EXPORT,39
361,1091,16,2026-05-09,LOGIN,88
362,1017,7,2026-05-01,LOGIN,183
363,1120,9,2026-05-29,EXPORT,268
364,1023,24,2026-05-29,DELETE,75
365,1148,26,2026-05-22,EXPORT,41
366,1096,32,2026-05-12,UPLOAD,105
367,1004,27,2026-05-25,UPLOAD,472
368,1073,19,2026-05-06,UPLOAD,137
369,1075,8,2026-05-11,UPLOAD,208
370,1049,37,2026-05-06,LOGIN,281
371,1109,6,2026-05-20,LOGIN,472
372,1026,19,2026-05-05,EXPORT,9
373,1032,23,2026-05-13,DOWNLOAD,27
374,1028,2,2026-05-01,DOWNLOAD,189
375,1051,3,2026-05-16,LOGIN,331
376,1037,2,2026-05-19,DELETE,69
377,1057,13,2026-05-11,LOGIN,413
378,1080,32,2026-05-22,DELETE,151
379,1072,25,2026-05-02,DOWNLOAD,262
380,1003,13,2026-05-01,LOGIN,400
381,1140,30,2026-05-13,EXPORT,430
382,1111,19,2026-05-17,UPLOAD,29
383,1091,24,2026-05-14,DOWNLOAD,384
384,1051,33,2026-05-17,LOGIN,484
385,1139,13,2026-05-26,LOGIN,436
386,1134,31,2026-05-10,UPLOAD,495
387,1140,38,2026-05-28,DOWNLOAD,342
388,1025,8,2026-05-17,EXPORT,130
389,1026,30,2026-05-13,EXPORT,163
390,1080,19,2026-05-06,EXPORT,446
391,1036,32,2026-05-30,DOWNLOAD,321
392,1021,30,2026-05-26,EXPORT,48
393,1049,38,2026-05-04,DELETE,269
394,1084,17,2026-05-04,LOGIN,153
395,1118,34,2026-05-14,DELETE,186
396,1060,16,2026-05-04,DOWNLOAD,363
397,1106,37,2026-05-24,EXPORT,203
398,1123,6,2026-05-23,EXPORT,145
399,1019,2,2026-05-05,EXPORT,216
400,1139,5,2026-05-14,UPLOAD,145
401,1078,19,2026-05-15,UPLOAD,312
402,1100,1,2026-05-23,EXPORT,288
403,1131,38,2026-05-08,LOGIN,361
404,1128,25,2026-05-26,UPLOAD,93
405,1107,16,2026-05-24,DOWNLOAD,178
406,1140,30,2026-05-11,EXPORT,180
407,1062,30,2026-05-07,LOGIN,369
408,1045,10,2026-05-23,UPLOAD,478
409,1057,40,2026-05-13,DOWNLOAD,240
410,1130,24,2026-05-14,UPLOAD,229
411,1101,21,2026-05-09,DOWNLOAD,364
412,1019,39,2026-05-27,EXPORT,428
413,1061,15,2026-05-31,LOGIN,58
414,1005,5,2026-05-15,DELETE,159
415,1019,36,2026-05-21,UPLOAD,339
416,1031,22,2026-05-08,LOGIN,391
417,1147,8,2026-05-02,DELETE,97
418,1106,31,2026-05-12,EXPORT,99
419,1081,1,2026-05-16,DOWNLOAD,319
420,1140,20,2026-05-31,EXPORT,492
421,1090,28,2026-05-29,LOGIN,379
422,1117,31,2026-05-08,LOGIN,380
423,1125,24,2026-05-01,UPLOAD,22
424,1072,7,2026-05-25,DELETE,156
425,1104,2,2026-05-17,DELETE,321
426,1025,9,2026-05-30,UPLOAD,491
427,1141,19,2026-05-24,EXPORT,129
428,1042,25,2026-05-31,DELETE,378
429,1143,23,2026-05-19,EXPORT,445
430,1023,10,2026-05-30,DOWNLOAD,304
431,1028,23,2026-05-20,LOGIN,179
432,1112,33,2026-05-31,DOWNLOAD,460
433,1013,19,2026-05-29,UPLOAD,225
434,1096,34,2026-05-27,DELETE,372
435,1075,37,2026-05-13,DOWNLOAD,425
436,1035,3,2026-05-26,LOGIN,41
437,1047,7,2026-05-23,DELETE,333
438,1050,1,2026-05-15,EXPORT,433
439,1087,36,2026-05-26,DELETE,162
440,1040,1,2026-05-13,LOGIN,147
441,1077,30,2026-05-03,DELETE,236
442,1042,32,2026-05-16,DOWNLOAD,464
443,1143,19,2026-05-09,UPLOAD,376
444,1060,10,2026-05-19,DOWNLOAD,385
445,1058,33,2026-05-08,DELETE,493
446,1033,4,2026-05-08,EXPORT,415
447,1002,20,2026-05-14,DELETE,307
448,1059,15,2026-05-19,LOGIN,51
449,1112,30,2026-05-13,DOWNLOAD,419
450,1025,7,2026-05-03,DOWNLOAD,209
451,1133,38,2026-05-26,DELETE,275
452,1062,18,2026-05-05,UPLOAD,186
453,1104,30,2026-05-08,DELETE,201
454,1078,8,2026-05-06,UPLOAD,302
455,1105,21,2026-05-05,DELETE,123
456,1091,7,2026-05-21,DOWNLOAD,66
457,1124,5,2026-05-27,UPLOAD,285
458,1098,32,2026-05-12,LOGIN,16
459,1138,16,2026-05-06,UPLOAD,269
460,1115,40,2026-05-08,EXPORT,129
461,1150,26,2026-05-22,LOGIN,350
462,1086,27,2026-05-23,DELETE,297
463,1028,39,2026-05-25,EXPORT,141
464,1048,28,2026-05-07,LOGIN,201
465,1084,33,2026-05-14,DELETE,187
466,1063,2,2026-05-09,UPLOAD,306
467,1002,15,2026-05-26,DELETE,459
468,1023,39,2026-05-29,DOWNLOAD,429
469,1051,7,2026-05-17,LOGIN,99
470,1112,20,2026-05-19,UPLOAD,240
471,1080,13,2026-05-06,DELETE,105
472,1116,32,2026-05-31,UPLOAD,11
473,1151,29,2026-05-19,UPLOAD,393
474,1143,4,2026-05-27,LOGIN,440
475,1015,19,2026-05-30,UPLOAD,129
476,1043,10,2026-05-18,LOGIN,213
477,1133,36,2026-05-21,UPLOAD,207
478,1103,12,2026-05-01,UPLOAD,169
479,1125,22,2026-05-05,DELETE,320
480,1038,27,2026-05-13,EXPORT,296
481,1063,35,2026-05-11,LOGIN,479
482,1051,40,2026-05-24,DOWNLOAD,5
483,1078,17,2026-05-09,LOGIN,133
484,1083,6,2026-05-10,UPLOAD,210
485,1097,14,2026-05-29,EXPORT,448
486,1140,33,2026-05-22,LOGIN,480
487,1093,28,2026-05-20,UPLOAD,301
488,1140,38,2026-05-19,DOWNLOAD,453
489,1029,7,2026-05-24,DELETE,396
490,1105,11,2026-05-28,DELETE,497
491,1061,33,2026-05-31,LOGIN,45
492,1041,3,2026-05-02,LOGIN,435
493,1148,22,2026-05-08,DOWNLOAD,383
494,1046,13,2026-05-23,DELETE,367
495,1039,29,2026-05-18,UPLOAD,350
496,1040,6,2026-05-18,LOGIN,424
497,1002,39,2026-05-02,EXPORT,97
498,1051,28,2026-05-15,DELETE,108
499,1120,15,2026-05-17,UPLOAD,369
500,1008,24,2026-05-23,DELETE,245
501,1031,26,2026-05-24,DOWNLOAD,264
502,1039,1,2026-05-23,EXPORT,174
503,1083,26,2026-05-15,UPLOAD,262
504,1144,31,2026-05-20,UPLOAD,254
505,1023,23,2026-05-27,LOGIN,482
506,1139,32,2026-05-15,DOWNLOAD,307
507,1121,1,2026-05-28,DOWNLOAD,408
508,1069,18,2026-05-25,UPLOAD,34
509,1012,17,2026-05-13,DELETE,86
510,1036,28,2026-05-18,UPLOAD,290
511,1057,1,2026-05-21,UPLOAD,370
512,1092,36,2026-05-15,UPLOAD,359
513,1090,5,2026-05-18,UPLOAD,261
514,1004,5,2026-05-19,UPLOAD,318
515,1144,2,2026-05-18,UPLOAD,327
516,1022,11,2026-05-24,DELETE,27
517,1107,35,2026-05-15,EXPORT,433
518,1070,30,2026-05-10,EXPORT,236
519,1139,32,2026-05-30,LOGIN,410
520,1085,8,2026-05-29,EXPORT,309
521,1039,2,2026-05-22,DELETE,379
522,1150,36,2026-05-21,UPLOAD,257
523,1030,39,2026-05-21,DOWNLOAD,436
524,1104,25,2026-05-16,DELETE,67
525,1053,19,2026-05-09,DOWNLOAD,308
526,1134,7,2026-05-02,LOGIN,48
527,1054,40,2026-05-13,DELETE,55
528,1132,14,2026-05-01,UPLOAD,194
529,1079,4,2026-05-22,UPLOAD,244
530,1036,33,2026-05-24,DELETE,211
531,1063,37,2026-05-08,DELETE,385
532,1131,30,2026-05-06,UPLOAD,45
533,1057,20,2026-05-19,DOWNLOAD,468
534,1080,14,2026-05-19,DELETE,159
535,1016,27,2026-05-02,UPLOAD,484
536,1120,13,2026-05-29,EXPORT,102
537,1134,7,2026-05-18,DELETE,61
538,1149,18,2026-05-18,LOGIN,174
539,1009,38,2026-05-23,LOGIN,272
540,1028,39,2026-05-15,DELETE,470
541,1045,9,2026-05-26,UPLOAD,342
542,1058,23,2026-05-25,DOWNLOAD,64
543,1029,31,2026-05-26,DELETE,68
544,1095,2,2026-05-30,LOGIN,264
545,1121,40,2026-05-16,DOWNLOAD,486
546,1057,38,2026-05-27,EXPORT,427
547,1033,39,2026-05-13,DOWNLOAD,407
548,1108,5,2026-05-23,EXPORT,367
549,1132,23,2026-05-28,LOGIN,194
550,1016,32,2026-05-24,EXPORT,433
551,1131,39,2026-05-28,DOWNLOAD,65
552,1089,16,2026-05-28,LOGIN,248
553,1081,11,2026-05-05,DOWNLOAD,419
554,1150,14,2026-05-18,DELETE,181
555,1082,3,2026-05-30,DOWNLOAD,163
556,1096,8,2026-05-24,DELETE,46
557,1146,15,2026-05-05,DELETE,436
558,1057,9,2026-05-16,EXPORT,24
559,1028,16,2026-05-29,DELETE,116
560,1136,26,2026-05-30,EXPORT,216
561,1141,32,2026-05-25,DELETE,100
562,1121,18,2026-05-06,LOGIN,24
563,1047,8,2026-05-29,EXPORT,20
564,1010,39,2026-05-07,DOWNLOAD,61
565,1041,32,2026-05-01,EXPORT,279
566,1074,10,2026-05-08,LOGIN,227
567,1015,12,2026-05-07,DELETE,17
568,1074,12,2026-05-23,LOGIN,251
569,1052,10,2026-05-07,UPLOAD,24
570,1059,34,2026-05-31,LOGIN,367
571,1118,30,2026-05-07,LOGIN,336
572,1039,31,2026-05-31,LOGIN,437
573,1126,38,2026-05-27,DOWNLOAD,243
574,1042,25,2026-05-01,DOWNLOAD,414
575,1051,24,2026-05-12,LOGIN,39
576,1050,33,2026-05-25,UPLOAD,173
577,1092,9,2026-05-23,UPLOAD,398
578,1105,25,2026-05-23,EXPORT,336
579,1066,20,2026-05-11,LOGIN,284
580,1058,17,2026-05-29,EXPORT,205
581,1127,6,2026-05-16,DELETE,329
582,1004,36,2026-05-28,UPLOAD,163
583,1131,20,2026-05-01,DELETE,442
584,1032,26,2026-05-06,DELETE,318
585,1062,40,2026-05-26,LOGIN,102
586,1144,12,2026-05-24,UPLOAD,320
587,1018,7,2026-05-30,EXPORT,369
588,1134,40,2026-05-05,DELETE,15
589,1106,30,2026-05-12,LOGIN,77
590,1065,22,2026-05-28,DOWNLOAD,218
591,1080,29,2026-05-17,UPLOAD,44
592,1037,22,2026-05-13,DOWNLOAD,443
593,1073,24,2026-05-05,EXPORT,435
594,1081,3,2026-05-15,EXPORT,480
595,1100,24,2026-05-02,EXPORT,449
596,1059,26,2026-05-02,UPLOAD,212
597,1095,5,2026-05-20,DELETE,78
598,1037,13,2026-05-30,LOGIN,38
599,1101,37,2026-05-16,DELETE,66
600,1129,22,2026-05-12,UPLOAD,83
601,1053,34,2026-05-27,DOWNLOAD,470
602,1062,39,2026-05-04,LOGIN,177
603,1143,3,2026-05-31,EXPORT,99
604,1051,32,2026-05-26,DOWNLOAD,9
605,1014,24,2026-05-23,DELETE,311
606,1108,9,2026-05-09,LOGIN,357
607,1098,3,2026-05-27,EXPORT,62
608,1059,22,2026-05-12,LOGIN,127
609,1151,24,2026-05-02,DELETE,97
610,1145,38,2026-05-08,UPLOAD,7
611,1056,10,2026-05-14,DELETE,27
612,1133,35,2026-05-24,UPLOAD,270
613,1145,20,2026-05-11,EXPORT,307
614,1018,12,2026-05-08,DELETE,292
615,1089,12,2026-05-09,DELETE,381
616,1055,17,2026-05-25,DELETE,52
